arm,alpha,stopping_protocol,guarantee_type,threshold,N_streams,FPR,CI_low,CI_high,bound_target,bound_respected,binom_p_one_sided
MIX,0.035000000000000003,peeking,ville_anytime,0.035000000000000003,20000,0.033950000000000001,0.031528265075340907,0.036550731732554222,0.035000000000000003,True,0.7954179612982899
MIX,0.025000000000000001,nominal,ville_anytime,0.025000000000000001,20000,0.020049999999999998,0.018197529220441377,0.022086806189813443,0.025000000000000001,True,0.99999840607172141
MIX,0.025000000000000001,extended,ville_anytime,0.025000000000000001,20000,0,0,0.00019203605610462553,0.025000000000000001,True,1
MIX,0.025000000000000001,peeking,ville_anytime,0.025000000000000001,20000,0.024049999999999998,0.022016370880129848,0.026266428241676135,0.025000000000000001,True,0.81101427778756463
MIX,0.014999999999999999,nominal,ville_anytime,0.014999999999999999,20000,0.0126,0.011145074134923511,0.014242122612567278,0.014999999999999999,True,0.99808678069920498
MIX,0.014999999999999999,extended,ville_anytime,0.014999999999999999,20000,0,0,0.00019203605610462553,0.014999999999999999,True,1
MIX,0.014999999999999999,peeking,ville_anytime,0.014999999999999999,20000,0.014999999999999999,0.013406126129670499,0.016780148844750986,0.014999999999999999,True,0.50785201566765514
MIX,0.01,nominal,ville_anytime,0.01,20000,0.0080000000000000002,0.006856368279388781,0.0093325951998181715,0.01,True,0.99851821088332271
MIX,0.01,extended,ville_anytime,0.01,20000,0,0,0.00019203605610462553,0.01,True,1
MIX,0.01,peeking,ville_anytime,0.01,20000,0.0094500000000000001,0.0082001550405576256,0.010888251534086622,0.01,True,0.79202947189712869
eCUSUM,0.10000000000000001,nominal,arl0_only,0.10000000000000001,20000,1,0.99980796394389537,0.99999999999999989,0.10000000000000001,n/a (documentary),0
eCUSUM,0.10000000000000001,extended,arl0_only,0.10000000000000001,20000,0.1865,0.18116215710252392,0.19195824950465362,0.10000000000000001,n/a (documentary),3.3392527961696359e-298
eCUSUM,0.10000000000000001,peeking,arl0_only,0.10000000000000001,20000,1,0.99980796394389537,0.99999999999999989,0.10000000000000001,n/a (documentary),0
eCUSUM,0.070000000000000007,nominal,arl0_only,0.070000000000000007,20000,1,0.99980796394389537,0.99999999999999989,0.070000000000000007,n/a (documentary),0
eCUSUM,0.070000000000000007,extended,arl0_only,0.070000000000000007,20000,0.13239999999999999,0.12777333675030658,0.13716784815814151,0.070000000000000007,n/a (documentary),4.6855286510224689e-212
eCUSUM,0.070000000000000007,peeking,arl0_only,0.070000000000000007,20000,1,0.99980796394389537,0.99999999999999989,0.070000000000000007,n/a (documentary),0
eCUSUM,0.050000000000000003,nominal,arl0_only,0.050000000000000003,20000,1,0.99980796394389537,0.99999999999999989,0.050000000000000003,n/a (documentary),0
eCUSUM,0.050000000000000003,extended,arl0_only,0.050000000000000003,20000,0.094350000000000003,0.090376334281005888,0.098479464571311792,0.050000000000000003,n/a (documentary),9.820081492879945e-147
eCUSUM,0.050000000000000003,peeking,arl0_only,0.050000000000000003,20000,1,0.99980796394389537,0.99999999999999989,0.050000000000000003,n/a (documentary),0
eCUSUM,0.035000000000000003,nominal,arl0_only,0.035000000000000003,20000,0.99985000000000002,0.99955903637270727,0.99994898518200503,0.035000000000000003,n/a (documentary),0
eCUSUM,0.035000000000000003,extended,arl0_only,0.035000000000000003,20000,0.065750000000000003,0.062397821692335334,0.069268961622391531,0.035000000000000003,n/a (documentary),1.1920146683934316e-99
eCUSUM,0.035000000000000003,peeking,arl0_only,0.035000000000000003,20000,1,0.99980796394389537,0.99999999999999989,0.035000000000000003,n/a (documentary),0
eCUSUM,0.025000000000000001,nominal,arl0_only,0.025000000000000001,20000,0.99475000000000002,0.99364904624122796,0.99566093408125655,0.025000000000000001,n/a (documentary),0
eCUSUM,0.025000000000000001,extended,arl0_only,0.025000000000000001,20000,0.046649999999999997,0.043813337911588535,0.04966078118048152,0.025000000000000001,n/a (documentary),4.2963514111741408e-69
eCUSUM,0.025000000000000001,peeking,arl0_only,0.025000000000000001,20000,1,0.99980796394389537,0.99999999999999989,0.025000000000000001,n/a (documentary),0
eCUSUM,0.014999999999999999,nominal,arl0_only,0.014999999999999999,20000,0.94455,0.94129205514871195,0.94763720559380549,0.014999999999999999,n/a (documentary),0
eCUSUM,0.014999999999999999,extended,arl0_only,0.014999999999999999,20000,0.027900000000000001,0.02570668507888698,0.030274635365287003,0.014999999999999999,n/a (documentary),3.0413211268989153e-41
eCUSUM,0.014999999999999999,peeking,arl0_only,0.014999999999999999,20000,1,0.99980796394389537,0.99999999999999989,0.014999999999999999,n/a (documentary),0
eCUSUM,0.01,nominal,arl0_only,0.01,20000,0.84304999999999997,0.83794290028900476,0.84802534377290184,0.01,n/a (documentary),0
eCUSUM,0.01,extended,arl0_only,0.01,20000,0.018800000000000001,0.017008012933978311,0.020776802566416775,0.01,n/a (documentary),4.4844468040822916e-29
eCUSUM,0.01,peeking,arl0_only,0.01,20000,0.99944999999999995,0.99901532376549029,0.99969285141806663,0.01,n/a (documentary),0
