Gamma,arm,c,DetRate,CI_low,CI_high,ADD,SEM
11.58,Eco_L1,1.0,1.0,0.9980828823994873,1.0,26.3935,0.1465761616381746
11.58,Oracle_Eco,1.0,1.0,0.9980828823994873,1.0,24.6995,0.1439668819782983
11.58,Concept,1.0,1.0,0.9980828823994873,1.0,43.8315,0.21446573537706534
11.58,Recalib,2.0,1.0,0.9980828823994873,1.0,55.909,0.6045478463688996
11.58,Eco_L1,2.0,1.0,0.9980828823994873,1.0,12.579,0.04745530004911333
11.58,Oracle_Eco,2.0,1.0,0.9980828823994873,1.0,10.9595,0.04321878997500336
11.58,Concept,2.0,1.0,0.9980828823994873,1.0,28.8815,0.051127643138975935
50.0,Recalib,0.25,0.1955,0.17870951253093126,0.21345801208778115,2495.4092071611253,61.39448692914134
50.0,Eco_L1,0.25,1.0,0.9980828823994873,1.0,374.973,7.146927936180865
50.0,Oracle_Eco,0.25,1.0,0.9980828823994873,1.0,360.417,6.435379173603838
50.0,Concept,0.25,1.0,0.9980828823994873,1.0,475.3795,8.557306760270412
50.0,Recalib,0.5,0.8695,0.8540255609154552,0.8835576891777659,1385.173663024727,22.628190559599737
50.0,Eco_L1,0.5,1.0,0.9980828823994873,1.0,69.1755,0.6723112010449663
50.0,Oracle_Eco,0.5,1.0,0.9980828823994873,1.0,67.0825,0.6516937158087472
50.0,Concept,0.5,1.0,0.9980828823994873,1.0,101.298,0.9513835521658265
50.0,Recalib,1.0,1.0,0.9980828823994873,1.0,224.8595,2.914545619467806
50.0,Eco_L1,1.0,1.0,0.9980828823994873,1.0,25.7475,0.14127048718778856
50.0,Oracle_Eco,1.0,1.0,0.9980828823994873,1.0,24.4815,0.14036445406506054
50.0,Concept,1.0,1.0,0.9980828823994873,1.0,43.343,0.20358265753551946
50.0,Recalib,2.0,1.0,0.9980828823994873,1.0,61.534,0.6927884958268108
50.0,Eco_L1,2.0,1.0,0.9980828823994873,1.0,12.2115,0.045710267875988725
50.0,Oracle_Eco,2.0,1.0,0.9980828823994873,1.0,10.881,0.04221742123019434
50.0,Concept,2.0,1.0,0.9980828823994873,1.0,28.8295,0.051429927024028016
200.0,Recalib,0.25,0.1835,0.16714782955695764,0.20106570588416708,2478.299727520436,65.6414249950203
200.0,Eco_L1,0.25,1.0,0.9980828823994873,1.0,372.313,7.238046813632679
200.0,Oracle_Eco,0.25,1.0,0.9980828823994873,1.0,360.222,6.887341947191874
200.0,Concept,0.25,1.0,0.9980828823994873,1.0,463.536,8.399923643141365
200.0,Recalib,0.5,0.8815,0.8665984852580353,0.8949387540127733,1375.2450368689733,22.09203234915169
200.0,Eco_L1,0.5,1.0,0.9980828823994873,1.0,69.3505,0.6661814495592536
200.0,Oracle_Eco,0.5,1.0,0.9980828823994873,1.0,67.7065,0.6585905781666065
200.0,Concept,0.5,1.0,0.9980828823994873,1.0,101.0145,0.925477119557481
200.0,Recalib,1.0,1.0,0.9980828823994873,1.0,212.502,2.0172999894968053
200.0,Eco_L1,1.0,1.0,0.9980828823994873,1.0,25.4125,0.14217692855912753
200.0,Oracle_Eco,1.0,1.0,0.9980828823994873,1.0,24.1705,0.14122743171471455
200.0,Concept,1.0,1.0,0.9980828823994873,1.0,42.618,0.20658745651320243
200.0,Recalib,2.0,1.0,0.9980828823994873,1.0,58.219,0.6092311554741765
200.0,Eco_L1,2.0,1.0,0.9980828823994873,1.0,12.041,0.045937072254374794
200.0,Oracle_Eco,2.0,1.0,0.9980828823994873,1.0,10.625,0.04158187136256624
200.0,Concept,2.0,1.0,0.9980828823994873,1.0,28.428,0.044473553360106464
