phi,arm,n_ols,N_seeds,lb_reject_rate,lb_ci_low,lb_ci_high,fpr_concept,fpr_ci_low,fpr_ci_high,lb_pvalue_binom,fpr_pvalue_binom
0.10000000000000001,OLS-125,125,10000,0.050599999999999999,0.046474089659734416,0.055071048075829687,0.051499999999999997,0.047337812436656745,0.056006634101840147,0.78305865236453076,0.68149169337850379
0.10000000000000001,OLS-250,250,10000,0.048599999999999997,0.044556065508316638,0.052990608220730172,0.052400000000000002,0.04820190179081859,0.056941853550611092,0.53564466898291374,0.42472349144742294
0.10000000000000001,OLS-500,500,10000,0.048599999999999997,0.044556065508316638,0.052990608220730172,0.054899999999999997,0.050604000564241192,0.0595378347853351,0.53564466898291374,0.05536551665726927
0.10000000000000001,OLS-1000,1000,10000,0.056000000000000001,0.051661752823658105,0.060679237729502705,0.055399999999999998,0.051084735868163686,0.060056715483041923,0.0067681683965221543,0.032023968922066236
0.125,NAIVE,,10000,0.96840000000000004,0.96478746062866361,0.97165280969768653,0.1724,0.16512282300512859,0.1799287727273387,0,0
0.125,ORACLE,,10000,0.049200000000000001,0.045131271500572244,0.053614941430429768,0.0516,0.047433804428009561,0.056110565310813203,0.7307686562827721,0.64836878512088614
0.125,OLS-125,125,10000,0.050500000000000003,0.046378143489312802,0.054967071045925457,0.050999999999999997,0.046857920608897666,0.055486909927969896,0.81852228171898833,0.85525671365527423
0.125,OLS-250,250,10000,0.049599999999999998,0.045514838911845511,0.054031066820459946,0.053800000000000001,0.049546748620783169,0.058395931525208618,0.87242502210853223,0.15076820316718265
0.125,OLS-500,500,10000,0.050000000000000003,0.045898482690584767,0.054447115843024162,0.055300000000000002,0.050988580601897746,0.059952947548982005,1,0.035861455306606012
0.125,OLS-1000,1000,10000,0.055599999999999997,0.051277058635897918,0.06026423911595942,0.055599999999999997,0.051277058635897918,0.06026423911595942,0.011588708123960694,0.02539560815486332
0.14999999999999999,NAIVE,,10000,0.99790000000000001,0.99679160612746409,0.99862600829501613,0.20999999999999999,0.20212902085768197,0.21809369819731039,0,0
