arm,stream,source_grid,gamma_target,gamma_realised,attainable,alpha,beta,n_steps,n_streams,lags,rho_lag1,rho_ci_low,rho_ci_high,abs_rho_lag1,rho_80_analytic,ratio_rho_to_rho_80,lb_reject_rate,lb_wilson_low,lb_wilson_high,lb_pvalue_median,power_at_measured_rho,power_at_rho_ci_low,power_at_rho_ci_high,mean_rate,degenerate,classifier_version
classifier_error,binary classifier error e_t^bin (HoeffdingTree),R06,120,119.99999999999928,True,0.080000000000000002,0.91355199336937587,8000,1000,20,0.00022662777478889106,-0.00045110147704892112,0.00093961427588177637,0.00022662777478889106,0.05111997652889267,0.0044332527160062868,0.055,0.042497427374768443,0.070908387677375631,0.50943558560168489,0.050007810750353494,0.049999999999999989,0.050134361513968058,0.50017475,0,0.23.0
classifier_error,binary classifier error e_t^bin (HoeffdingTree),R06,160,159.9999999999898,True,0.080000000000000002,0.91467022794786201,8000,1000,20,7.6193494492175079e-05,-0.0006305678756911774,0.00077280082215852792,7.6193494492175079e-05,0.05111997652889267,0.0014904837534326922,0.057000000000000002,0.044253440358715937,0.07313706765948591,0.50210805103116285,0.050000882846760859,0.049999999999999989,0.050090866674110258,0.50057287499999992,0,0.23.0
classifier_error,binary classifier error e_t^bin (HoeffdingTree),R06,200,199.99999999777344,True,0.080000000000000002,0.91541108644481817,8000,1000,20,-7.6789953391048698e-05,-0.00076137732704208377,0.00064370181139540041,7.6789953391048698e-05,0.05111997652889267,0.0015021515776253835,0.056000000000000001,0.043374813385442003,0.072023348149730965,0.48892895391278873,0.050000896723157461,0.049999999999999989,0.050088198834284087,0.50009887500000005,0,0.23.0
raw_sign,raw sign 1{eps_t > 0},R11,1,1.1739130434782608,False,0.080000000000000002,0,8000,1000,20,9.9937643955036412e-06,-0.0006539692463029919,0.00069426370675584653,9.9937643955036412e-06,0.05111997652889267,0.00019549626338062249,0.035999999999999997,0.026115571407387319,0.049435660467207834,0.51522391554104363,0.050000015188176573,0.049999999999999989,0.050073328966937058,0.49996374999999998,0,not-used
raw_sign,raw sign 1{eps_t > 0},R11,6.4444444444444446,6.4444444444444402,True,0.080000000000000002,0.87066748687546025,8000,1000,20,0.00034997762586541392,-0.00034312059992980937,0.0010317579167253494,0.00034997762586541392,0.05111997652889267,0.0068462008324203533,0.051999999999999998,0.039873036283777419,0.067555739319279981,0.49806508077345168,0.050018628312025359,0.049999999999999989,0.050162031261433829,0.50056274999999995,0,not-used
raw_sign,raw sign 1{eps_t > 0},R11,11.888888888888889,11.888888888888962,True,0.080000000000000002,0.88955104815199215,8000,1000,20,-0.0004735031534777752,-0.0011289827744677,0.0002066396224704671,0.0004735031534777752,0.05111997652889267,0.0092625855023652903,0.056000000000000001,0.043374813385442003,0.072023348149730965,0.48516735935170868,0.050034101738977349,0.049999999999999989,0.050194042069073193,0.50002637500000002,0,not-used
raw_sign,raw sign 1{eps_t > 0},R11,17.333333333333336,17.333333333333339,True,0.080000000000000002,0.89677127575508631,8000,1000,20,-5.5500660946478308e-05,-0.0007643464874909911,0.00059099736212798201,5.5500660946478308e-05,0.05111997652889267,0.0010856941789695405,0.056000000000000001,0.043374813385442003,0.072023348149730965,0.50482172032403549,0.050000468430149783,0.049999999999999989,0.050088888422324077,0.50001362500000002,0,not-used
raw_sign,raw sign 1{eps_t > 0},R11,22.777777777777779,22.777777777777651,True,0.080000000000000002,0.90075900270619313,8000,1000,20,-0.00051477285278130796,-0.0012045295737976066,0.00021828537910765993,0.00051477285278130796,0.05111997652889267,0.010069896109798911,0.042999999999999997,0.032078653411713363,0.057419003844084014,0.51478878710476461,0.050040306697337535,0.049999999999999989,0.050220913219892784,0.49992399999999998,0,not-used
raw_sign,raw sign 1{eps_t > 0},R11,28.222222222222221,28.222222222222214,True,0.080000000000000002,0.90334870668452893,8000,1000,20,0.00044374042226409774,-0.00027328282947163885,0.0011312327437722665,0.00044374042226409774,0.05111997652889267,0.0086803721831385933,0.043999999999999997,0.032938214588418502,0.058551789150407776,0.49349342029747112,0.050029948743486215,0.049999999999999989,0.050194817107060676,0.49994749999999999,0,not-used
raw_sign,raw sign 1{eps_t > 0},R11,33.666666666666671,33.666666666666899,True,0.080000000000000002,0.90519306814858846,8000,1000,20,0.00072819404629487,-2.5284663231366766e-05,0.001448324185389537,0.00072819404629487,0.05111997652889267,0.014244804003055431,0.058000000000000003,0.045133278234998242,0.074249576266232506,0.48522141432844573,0.050080674974134126,0.049999999999999989,0.050319564538496023,0.49988274999999999,0,not-used
raw_sign,raw sign 1{eps_t > 0},R11,39.111111111111114,39.111111111111377,True,0.080000000000000002,0.90658748647479204,8000,1000,20,-4.9811685575333192e-05,-0.0007517647903937108,0.0006291081068656258,4.9811685575333192e-05,0.05111997652889267,0.00097440744220960199,0.044999999999999998,0.03379951228563171,0.059682837936223455,0.50783648956128913,0.050000377320831756,0.049999999999999989,0.050085984767237204,0.49987775000000001,0,not-used
raw_sign,raw sign 1{eps_t > 0},R11,44.555555555555557,44.555555555555131,True,0.080000000000000002,0.90768682181279736,8000,1000,20,-0.00054001210265830653,-0.0012304428775837572,0.00013220798859290024,0.00054001210265830653,0.05111997652889267,0.01056362188181161,0.047,0.035527105106384502,0.061939938081528451,0.47784582927063746,0.050044357067813613,0.049999999999999989,0.05023053301399498,0.50005387499999998,0,not-used
raw_sign,raw sign 1{eps_t > 0},R11,50,49.999999999999396,True,0.080000000000000002,0.9085808000511808,8000,1000,20,0.00033408266804482999,-0.00037175789959435838,0.0010235468583609786,0.00033408266804482999,0.05111997652889267,0.0065352664599915983,0.044999999999999998,0.03379951228563171,0.059682837936223455,0.49199322271629425,0.050016974492119295,0.049999999999999989,0.050159460227768855,0.49979749999999995,0,not-used
raw_sign,raw sign 1{eps_t > 0},R11,60,59.999999999999659,True,0.080000000000000002,0.90986061553399056,8000,1000,20,-0.00012357744184946634,-0.00079295592107038004,0.00052730249024707232,0.00012357744184946634,0.05111997652889267,0.0024174002071307914,0.053999999999999999,0.041621313723062728,0.069792154846052445,0.49328799871229906,0.050002322370284402,0.049999999999999989,0.050095670778359927,0.49986049999999999,0,not-used
raw_sign,raw sign 1{eps_t > 0},R11,75.555555555555557,75.555555555556765,True,0.080000000000000002,0.91127380319287643,8000,1000,20,-0.00037901144290410793,-0.0010669377447479432,0.00034474465206204207,0.00037901144290410793,0.05111997652889267,0.0074141552606131027,0.044999999999999998,0.03379951228563171,0.059682837936223455,0.51293547488995583,0.050021847686670423,0.049999999999999989,0.050173280140630362,0.50005524999999995,0,not-used
raw_sign,raw sign 1{eps_t > 0},R11,91.111111111111114,91.111111111108841,True,0.080000000000000002,0.91227659686986762,8000,1000,20,-0.00020108556304687769,-0.00094339098875026309,0.00048571449277869853,0.00020108556304687769,0.05111997652889267,0.0039336004572151058,0.058999999999999997,0.046014298212800467,0.075360902771459154,0.48846250333642971,0.05000614927913552,0.049999999999999989,0.050135444622247435,0.49985599999999997,0,not-used
raw_sign,raw sign 1{eps_t > 0},R11,106.66666666666666,106.6666666666668,True,0.080000000000000002,0.9130333780298272,8000,1000,20,-0.00034950056375100723,-0.0010202675460913512,0.00031817333170069999,0.00034950056375100723,0.05111997652889267,0.0068368686271495418,0.044999999999999998,0.03379951228563171,0.059682837936223455,0.47712351370278638,0.050018577556014909,0.049999999999999989,0.050158439175754091,0.49998850000000006,0,not-used
raw_sign,raw sign 1{eps_t > 0},R11,122.22222222222223,122.22222222222229,True,0.080000000000000002,0.91362941518099894,8000,1000,20,-0.0002296628322889674,-0.00095334058705584068,0.00047711825314028516,0.0002296628322889674,0.05111997652889267,0.0044926239776178984,0.071999999999999995,0.057563921680914412,0.089711783582720764,0.5140282325678156,0.050008021367904429,0.049999999999999989,0.050138318891481209,0.49980124999999997,0,not-used
raw_sign,raw sign 1{eps_t > 0},R11,137.77777777777777,137.77777777777555,True,0.080000000000000002,0.91411380852194202,8000,1000,20,0.00018660513928669059,-0.00048968501106952725,0.00089977783294563872,0.00018660513928669059,0.05111997652889267,0.0036503369515677028,0.044999999999999998,0.03379951228563171,0.059682837936223455,0.5071535529308564,0.050005295506888002,0.049999999999999989,0.050123202357050624,0.50019150000000001,0,not-used
