nu,arm,lambda_star,FPR_achieved,DetRate,ADD_conditional,SEM,n_detected,n_censored,ratio_to_eco,analytic_prediction,ratio_concept_to_arm,ratio_concept_to_arm_se,ratio_concept_to_arm_se_conditional,n_alarms_calib,n_alarms_holdout,FPR_holdout,p_conditional,p_binom_holdout,distinct_sup_fraction,n_bisection_iter,bisection_converged,horizon
6,Oracle_Eco,18.311528564453127,0.052999999999999999,1,63.433,0.7556829916651201,2000,0,0.69679793486021857,1.1377777777777778,1.2151797960052337,0.021802484901655726,0.01251239136354293,106,113,0.056500000000000002,0.62751734825520433,0.1864316067205754,1,12,True,5000
6,Concept,9.5224748535156252,0.050999999999999997,1,77.082499999999996,0.93341683098451922,2000,0,0.84673477234030869,1.1377777777777778,1,0,0,102,133,0.066500000000000004,0.037356078863206542,0.0011903342228242379,0.80487804878048785,12,True,5000
7,Eco_L1,22.217774658203126,0.047500000000000001,1,86.932000000000002,0.87635819722583896,2000,0,1,1.2047856934923535,0.94745893341922427,0.02115748342134486,0.0084572600042113078,95,112,0.056000000000000001,0.22608098389044157,0.22151691970703524,1,12,True,5000
7,Oracle_Eco,18.311528564453127,0.049000000000000002,1,65.700999999999993,0.75857136431411554,2000,0,0.75577462844522147,1.2047856934923535,1.2536262766167945,0.024537500677162944,0.011173578182085447,98,99,0.049500000000000002,0.94192790952162608,0.93047409979599782,1,12,True,5000
7,Concept,9.7666152343749992,0.052499999999999998,1,82.364500000000007,0.94082298750716697,2000,0,0.94745893341922427,1.2047856934923535,1,0,0,105,117,0.058500000000000003,0.40843349267325579,0.08665682827705487,0.80000000000000004,9,True,5000
8,Eco_L1,21.485353515625,0.049000000000000002,1,85.8185,0.88537886056668946,2000,0,1,1.2538775510204079,1.0178399762289017,0.020569054251258972,0.0090338444625500201,98,104,0.051999999999999998,0.66575387649405648,0.67261872124775857,1,9,True,5000
8,Oracle_Eco,17.823247802734375,0.049500000000000002,1,64.983999999999995,0.7622754777322801,2000,0,0.757226006047647,1.2538775510204079,1.3441693339899055,0.024560578958398853,0.012876722802489795,99,116,0.058000000000000003,0.23439533312159289,0.10616302076310533,1,12,True,5000
8,Concept,10.010755615234373,0.050999999999999997,1,87.349500000000006,0.99158877516060662,2000,0,1.0178399762289017,1.2538775510204079,1,0,0,102,101,0.050500000000000003,0.94274099089266872,0.90636660793418855,0.94999999999999996,12,True,5000
9,Eco_L1,21.485353515625,0.048500000000000001,1,82.643500000000003,0.83112098091520858,2000,0,1,1.2913796652121157,1.053809434498781,0.022877250408418471,0.010245385572453315,97,90,0.044999999999999998,0.60120180677126955,0.30498715430366913,1,9,True,5000
9,Oracle_Eco,18.067388183593749,0.049000000000000002,1,63.210500000000003,0.7172794711929914,2000,0,0.7648574903047427,1.2913796652121157,1.3777853362969761,0.023971200384308753,0.01390718194716308,98,90,0.044999999999999998,0.55127079095066323,0.30498715430366913,1,11,True,5000
9,Concept,10.254895996093749,0.049000000000000002,1,87.090500000000006,0.97531496169814602,2000,0,1.053809434498781,1.2913796652121157,1,0,0,98,103,0.051499999999999997,0.71823401929705788,0.74804126182063524,0.90000000000000002,11,True,5000
10,Eco_L1,20.997072753906252,0.050500000000000003,1,80.763000000000005,0.82526265196139903,2000,0,1,1.3209574200050387,1.072372249668784,0.025655012912174351,0.010054105319156037,101,84,0.042000000000000003,0.2017706884054177,0.095352123445770723,1,11,True,5000
10,Oracle_Eco,18.067388183593749,0.047500000000000001,1,63.137,0.68868044540115902,2000,0,0.78175649740599029,1.3209574200050387,1.3717471530164562,0.024899523218515497,0.013394764706752368,95,82,0.041000000000000002,0.31898012873066589,0.059434658098861073,1,11,True,5000
10,Concept,10.193860900878907,0.050000000000000003,1,86.608000000000004,0.98581950074241376,2000,0,1.072372249668784,1.3209574200050387,1,0,0,100,100,0.050000000000000003,0.99999999999999867,0.98775455305128124,0.92500000000000004,14,True,5000
12,Eco_L1,21.485353515625,0.047500000000000001,1,85.766499999999994,0.86923142517413343,2000,0,1,1.3646254338895052,1.0785504829974408,0.023221880471583255,0.01004855390413,95,82,0.041000000000000002,0.31898012873066589,0.059434658098861073,1,9,True,5000
12,Oracle_Eco,18.067388183593749,0.048000000000000001,1,65.489999999999995,0.72058765829470273,2000,0,0.76358484956247485,1.3646254338895052,1.412482821804856,0.030044097914957692,0.014176675747949074,96,86,0.042999999999999997,0.44940996189495819,0.14642650015518824,1,11,True,5000
12,Concept,10.315931091308592,0.047500000000000001,1,92.503500000000003,1.0544118673782241,2000,0,1.0785504829974408,1.3646254338895052,1,0,0,95,98,0.049000000000000002,0.82535082190412756,0.84917556610312372,0.95121951219512191,14,True,5000
15,Eco_L1,20.752932373046875,0.051999999999999998,1,82.019999999999996,0.8296486958220568,2000,0,1,1.4074655906290736,1.1505852231163132,0.027676589339190986,0.010108834074991094,104,116,0.058000000000000003,0.40644457758453623,0.10616302076310533,1,12,True,5000
15,Oracle_Eco,18.067388183593749,0.050500000000000003,1,65.542000000000002,0.75496331222212421,2000,0,0.79909778102901741,1.4074655906290736,1.439855359921882,0.033434438452709152,0.01348793518287845,101,115,0.057500000000000002,0.32857709398838575,0.12906605495015711,1,11,True,5000
15,Concept,10.499036376953125,0.052499999999999998,1,94.370999999999995,1.0354787721840664,2000,0,1.1505852231163132,1.4074655906290736,1,0,0,105,136,0.068000000000000005,0.03964806772398384,0.00042992699446160163,0.75609756097560976,12,True,5000
20,Eco_L1,20.020511230468749,0.051999999999999998,1,79.125,0.80085165242046685,2000,0,1,1.4494900486390523,1.2545781990521327,0.033031280817737596,0.011580950899622576,104,100,0.050000000000000003,0.77438358374433114,0.98775455305128124,1,11,True,5000
20,Oracle_Eco,17.457037231445312,0.050500000000000003,1,62.786999999999999,0.69934387566362088,2000,0,0.79351658767772515,1.4494900486390523,1.5810358832242344,0.033529354876939289,0.015930603000923898,101,97,0.048500000000000001,0.7712790158147288,0.76919925670945755,1,13,True,5000
20,Concept,10.743176757812499,0.048500000000000001,1,99.268500000000003,1.1063255316433689,2000,0,1.2545781990521327,1.4494900486390523,1,0,0,97,79,0.0395,0.16632503525251394,0.026842858097916887,0.97499999999999998,10,True,5000
