Gamma_target,Gamma_realised,attainable,Gamma,arm,c,n_seeds,adwin_impl,river_version,DetRate_CUSUM,ADD_CUSUM,SEM_CUSUM,n_preonset_leak_CUSUM,arm_CUSUM,DetRate_PHT,ADD_PHT,SEM_PHT,n_preonset_leak_PHT,arm_PHT,DetRate_ADWIN,ADD_ADWIN,SEM_ADWIN,n_preonset_leak_ADWIN,arm_ADWIN,DetRate_DDM,ADD_DDM,SEM_DDM,n_preonset_leak_DDM,arm_DDM,DetRate_EDDM,ADD_EDDM,SEM_EDDM,n_preonset_leak_EDDM,arm_EDDM
28.222222222222221,28.222222222222214,True,28.222222222222214,warmstart,1.5,5000,river,0.23.0,1,25.515000000000001,0.11813667931679812,159,warmstart,1,27.1402,0.1339054472080953,120,warmstart,0.99980000000000002,62.107021404280857,0.27872097299422571,2,warmstart,0.99980000000000002,252.02220444088817,3.4741989871121026,489,warmstart,0.99960000000000004,133.54221688675472,1.5764678197409208,4578,warmstart
33.666666666666671,33.666666666666899,True,33.666666666666899,warmstart,1.5,5000,river,0.23.0,1,25.521799999999999,0.12282306359963506,159,warmstart,1,27.143999999999998,0.1384335681834431,120,warmstart,0.99980000000000002,61.844568913782759,0.28305189161431871,2,warmstart,0.99980000000000002,251.50590118023604,3.466311957954709,489,warmstart,0.99960000000000004,133.46378551420568,1.5665841164049934,4578,warmstart
39.111111111111114,39.111111111111377,True,39.111111111111377,warmstart,1.5,5000,river,0.23.0,1,25.5396,0.13459571452316008,159,warmstart,1,27.1266,0.14225960244566974,120,warmstart,0.99980000000000002,61.620524104820966,0.28901337948498684,2,warmstart,0.99980000000000002,251.00720144028807,3.455944509518198,489,warmstart,0.99980000000000002,134.48489697939587,1.7866278382249183,4578,warmstart
44.555555555555557,44.555555555555131,True,44.555555555555131,warmstart,1.5,5000,river,0.23.0,1,25.527999999999999,0.13833872632057878,159,warmstart,1,27.1234,0.14632031467981471,120,warmstart,0.99980000000000002,61.383676735347066,0.29452819830166982,2,warmstart,0.99980000000000002,250.59791958391679,3.4518720840250587,489,warmstart,0.99980000000000002,134.47369473894778,1.7716278593984107,4578,warmstart
50,49.999999999999396,True,49.999999999999396,warmstart,1.5,5000,river,0.23.0,1,25.5092,0.14219558035325852,159,warmstart,1,27.0962,0.14922958524367747,120,warmstart,0.99980000000000002,61.287657531506298,0.30184163669697789,2,warmstart,0.99980000000000002,250.20684136827364,3.4471550416072447,489,warmstart,0.99980000000000002,134.01040208041607,1.665084307103802,4578,warmstart
60,59.999999999999659,True,59.999999999999659,warmstart,1.5,5000,river,0.23.0,1,25.485199999999999,0.15232109568933647,159,warmstart,1,27.072399999999998,0.15905619022219789,120,warmstart,0.99980000000000002,60.948389677935587,0.31341454165736832,2,warmstart,0.99980000000000002,249.44408881776354,3.4378192990298424,489,warmstart,1,134.0436,1.7113507705341999,4578,warmstart
75.555555555555557,75.555555555556765,True,75.555555555556765,warmstart,1.5,5000,river,0.23.0,1,25.440000000000001,0.15868106377258753,159,warmstart,1,27.028199999999998,0.1654447368519168,120,warmstart,0.99980000000000002,60.641128225645126,0.32543356607388102,2,warmstart,0.99980000000000002,248.50250050010001,3.4237414391344383,489,warmstart,1,133.95840000000001,1.7003153983564343,4578,warmstart
91.111111111111114,91.111111111108841,True,91.111111111108841,warmstart,1.5,5000,river,0.23.0,1,25.4482,0.16721753302808892,159,warmstart,1,27.027000000000001,0.1742950779568947,120,warmstart,0.99980000000000002,60.263452690538109,0.33782700836702184,2,warmstart,0.99980000000000002,247.72794558911784,3.4144353796037623,489,warmstart,0.99980000000000002,134.39727945589118,1.7899556107338919,4578,warmstart
106.66666666666666,106.6666666666668,True,106.6666666666668,warmstart,1.5,5000,river,0.23.0,1,25.413399999999999,0.17428052125237631,159,warmstart,1,27.026399999999999,0.18419169527424412,120,warmstart,1,60.401600000000002,0.48272433488275684,2,warmstart,0.99980000000000002,247.06241248249651,3.4066376662275957,489,warmstart,0.99980000000000002,134.23944788957792,1.7563062536224103,4578,warmstart
122.22222222222223,122.22222222222229,True,122.22222222222229,warmstart,1.5,5000,river,0.23.0,1,25.363399999999999,0.17725153902857935,159,warmstart,1,27.002199999999998,0.19658372016013939,120,warmstart,0.99980000000000002,59.86017203440688,0.36276808765411367,2,warmstart,1,247.37639999999999,3.5264841052538434,489,warmstart,0.99960000000000004,133.35674269707883,1.6082792272858739,4578,warmstart
137.77777777777777,137.77777777777555,True,137.77777777777555,warmstart,1.5,5000,river,0.23.0,1,25.334599999999998,0.18331974407575413,159,warmstart,1,27.014199999999999,0.20645754932188842,120,warmstart,0.99980000000000002,59.495299059811963,0.36726766043235365,2,warmstart,1,246.7542,3.5187951853542145,489,warmstart,0.99960000000000004,133.18407362945177,1.6087502459614931,4578,warmstart
153.33333333333331,153.3333333333353,True,153.3333333333353,warmstart,1.5,5000,river,0.23.0,1,25.308800000000002,0.18899176837100604,159,warmstart,1,26.990600000000001,0.21191928257711706,120,warmstart,0.99980000000000002,59.226445289057814,0.3791500530294119,2,warmstart,1,246.17959999999999,3.5130123297204636,489,warmstart,0.99960000000000004,133.10944377751102,1.613219343515977,4578,warmstart
168.88888888888889,168.88888888888508,True,168.88888888888508,warmstart,1.5,5000,river,0.23.0,1,25.274999999999999,0.19267266282480242,159,warmstart,1,26.964400000000001,0.22155357484816171,120,warmstart,0.99980000000000002,58.919183836767353,0.38002544121205373,2,warmstart,1,245.649,3.5053783076581047,489,warmstart,0.99980000000000002,133.4878975795159,1.7124159748162029,4578,warmstart
184.44444444444446,184.44444444444062,True,184.44444444444062,warmstart,1.5,5000,river,0.23.0,1,25.286799999999999,0.20684474649359602,159,warmstart,1,26.922599999999999,0.22702643424940627,120,warmstart,0.99980000000000002,58.68233646729346,0.38603179178571351,2,warmstart,1,245.13220000000001,3.4989322463620236,489,warmstart,0.99980000000000002,133.36427285457091,1.7079537441271251,4578,warmstart
200,199.99999999999488,True,199.99999999999488,warmstart,1.5,5000,river,0.23.0,1,25.321400000000001,0.22747153757778132,159,warmstart,1,26.946400000000001,0.23783890642197292,120,warmstart,0.99980000000000002,58.464692938587717,0.39060061721182576,2,warmstart,1,244.6754,3.4950130539052351,489,warmstart,0.99980000000000002,133.23424684936987,1.7039950209276298,4578,warmstart
