experiment,pipeline,detector,Gamma,ADD_reset,ADD_warmstart,delta_ADD,se_delta_paired,n_paired,censor_horizon,alarm_time_censored_reset,alarm_time_censored_warmstart,delta_censored,se_delta_censored,n_censored,DetRate_reset,DetRate_warmstart,n_preonset_leak_reset,n_preonset_leak_warmstart
expB_H1,Concept,ADWIN,6.4444444444444446,NaN,64.136227245449092,-2909.3775933609959,40.589373522694565,964,5000,4609.2088000000003,65.123400000000004,-4544.0853999999999,13.780022344848826,5000,0.1928,0.99980000000000002,0,2
expB_H1,Concept,ADWIN,11.888888888888889,NaN,63.25285057011402,-2631.8297872340427,25.928255179096769,2444,5000,3873.5207999999998,64.240200000000002,-3809.2806,20.658551037256213,5000,0.48880000000000001,0.99980000000000002,0,2
expB_H1,Concept,ADWIN,17.333333333333336,2491.64131426833,62.798359671934385,-2428.2372984484332,22.183107280879685,3287,5000,3351.0050000000001,63.785800000000002,-3287.2192,22.290451071974079,5000,0.65739999999999998,0.99980000000000002,0,2
expB_H1,Concept,ADWIN,22.777777777777779,2344.5510860820596,62.395079015803162,-2281.6840976133012,20.500773772997047,3729,5000,3019.5662000000002,63.382599999999996,-2956.1835999999998,22.399814445562871,5000,0.74580000000000002,0.99980000000000002,0,2
expB_H1,Concept,ADWIN,28.222222222222221,2256.3567367119899,62.107021404280857,-2193.874907292954,19.474200522122626,4045,5000,2780.3926000000001,63.0946,-2717.2979999999998,21.938915741758635,5000,0.80900000000000005,0.99980000000000002,0,2
expB_H1,Concept,ADWIN,33.666666666666671,2174.621212121212,61.844568913782759,-2112.4469696969695,18.844845940938647,4224,5000,2613.1199999999999,62.8322,-2550.2878000000001,21.521327901994454,5000,0.8448,0.99980000000000002,0,2
expB_H1,Concept,ADWIN,39.111111111111114,2121.7331486611265,61.620524104820966,-2059.8337950138502,18.455781551047522,4332,5000,2506.2696000000001,62.608199999999997,-2443.6614,21.16070253881934,5000,0.86639999999999995,0.99980000000000002,0,2
expB_H1,Concept,ADWIN,44.555555555555557,2082.7258284157965,61.383676735347066,-2021.0113481615979,18.204969864959711,4406,5000,2429.2979999999998,62.371400000000001,-2366.9265999999998,20.877614988403458,5000,0.88119999999999998,0.99980000000000002,0,2
expB_H1,Concept,ADWIN,50,2052.4001790510297,61.287657531506298,-1990.8182632050134,17.943946505338999,4468,5000,2366.0248000000001,62.275399999999998,-2303.7494000000002,20.557368278990371,5000,0.89359999999999995,0.99980000000000002,0,2
expB_H1,Concept,ADWIN,60,1990.4398943196829,60.948389677935587,-1929.1856419290905,17.637149278553807,4541,5000,2266.1156000000001,61.936199999999999,-2204.1794,20.222546394548434,5000,0.90839999999999999,0.99980000000000002,0,2
