arm,pipeline,detector,response,domain,slope,intercept,se_bootstrap,se_ols,se_ratio,ci_low,ci_high,p_value,n_points,n_short_replicates,r2
as_submitted,Concept,EDDM,ADD ~ log(Gamma),all grid points,-0.20248724879673582,134.60020654596795,0.2462352633194779,0.07868735278352916,3.1292864051085458,-0.66060829353450679,0.30788784507050365,0.41088770970671129,20,0,0.26894480146043892
reset,Data,CUSUM,log(ADD) ~ log(Gamma),DetRate >= 0.5,0.87772855070747491,4.288853960806339,0.0061031529244931744,0.045122320021037124,0.13525795929038525,0.86554094054713926,0.88936256967860661,0,20,0,0.95458997246922028
reset,Data,CUSUM,log(ADD) ~ log(Gamma),DetRate >= 0.5 and Gamma > 1.5,0.74137253929472846,4.8709798588769013,0.010209058536796364,0.03803007651581268,0.26844696282826302,0.72137475210714896,0.76104431221868207,0,19,0,0.9571821440237106
reset,Data,PHT,log(ADD) ~ log(Gamma),DetRate >= 0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,2000,NaN
reset,Data,PHT,log(ADD) ~ log(Gamma),DetRate >= 0.5 and Gamma > 1.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,2000,NaN
reset,Data,ADWIN,log(ADD) ~ log(Gamma),DetRate >= 0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,2000,NaN
reset,Data,ADWIN,log(ADD) ~ log(Gamma),DetRate >= 0.5 and Gamma > 1.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,2000,NaN
warmstart,Data,CUSUM,log(ADD) ~ log(Gamma),DetRate >= 0.5,0.88057505034151395,4.2748986888111702,0.006023652144014663,0.045249106712285408,0.13312201238172078,0.86907124832923832,0.89204779612114504,0,20,0,0.95462739985189993
warmstart,Data,CUSUM,log(ADD) ~ log(Gamma),DetRate >= 0.5 and Gamma > 1.5,0.74381128330905733,4.8587653616657569,0.010280517263076517,0.038125306350703166,0.26965074505917791,0.72333524517365155,0.76394655423728119,0,19,0,0.95724629320281107
warmstart,Data,PHT,log(ADD) ~ log(Gamma),DetRate >= 0.5,1.097748528013033,3.3411108476818798,0.0093396964825094506,0.027605063431837502,0.33833273035474287,1.0797873611692361,1.1161001314769015,0,12,0,0.99371603050914004
warmstart,Data,PHT,log(ADD) ~ log(Gamma),DetRate >= 0.5 and Gamma > 1.5,1.0051362075423751,3.6666140293022531,0.01627503886626909,0.028470966887141055,0.57163632449798285,0.97347001026937852,1.0370278585382842,0,11,0,0.99283077292392274
warmstart,Data,ADWIN,log(ADD) ~ log(Gamma),DetRate >= 0.5,0.48445868530092712,4.7408682444436572,0.0099545897544116458,0.021933796427036852,0.45384709334408924,0.46491355421397867,0.50375200730030467,0,20,0,0.96441629469735335
warmstart,Data,ADWIN,log(ADD) ~ log(Gamma),DetRate >= 0.5 and Gamma > 1.5,0.41876445579706756,5.0213275505774329,0.014063120197302412,0.018760685707965127,0.74960587348530161,0.38907380624736104,0.44634637309271447,7.6438041619801816e-195,19,0,0.96700593303661697
as_submitted,Data,CUSUM,log(ADD) ~ log(Gamma),DetRate >= 0.5,0.87772855070747491,4.288853960806339,0.0060685620527969313,0.045122320021037124,0.13449135704829937,0.8660394727952172,0.88965185919533507,0,20,0,0.95458997246922028
as_submitted,Data,CUSUM,log(ADD) ~ log(Gamma),DetRate >= 0.5 and Gamma > 1.5,0.74137253929472846,4.8709798588769013,0.01002208997947091,0.03803007651581268,0.26353062885118794,0.72168600316363085,0.76110004342028148,0,19,0,0.9571821440237106
as_submitted,Data,CUSUM,"ADD ~ Gamma (submitted linear fit, traceability only)",DetRate >= 0.5,26.24107601857823,962.93309053511189,0.56327625210897569,1.8449423851394819,0.3053083156666655,25.144985448448079,27.364225105235526,0,20,0,0.91829354389856432
as_submitted,Data,PHT,log(ADD) ~ log(Gamma),DetRate >= 0.5,1.097748528013033,3.3411108476818798,0.0093948000931276185,0.027605063431837502,0.34032887177837085,1.0794835195373724,1.116614042219094,0,12,0,0.99371603050914004
as_submitted,Data,PHT,log(ADD) ~ log(Gamma),DetRate >= 0.5 and Gamma > 1.5,1.0051362075423751,3.6666140293022531,0.015695804849880288,0.028470966887141055,0.55129159863444321,0.97344165453219078,1.0361738467932475,0,11,0,0.99283077292392274
as_submitted,Data,PHT,"ADD ~ Gamma (submitted linear fit, traceability only)",DetRate >= 0.5,37.274641095598525,71.677646991348183,1.1876494257653232,1.1592466401823625,1.0245010721605305,35.022492291613162,39.642168706360344,3.219266096809751e-216,12,0,0.9904204665765618
as_submitted,Data,ADWIN,log(ADD) ~ log(Gamma),DetRate >= 0.5,0.48445868530092712,4.7408682444436572,0.0096077067701780209,0.021933796427036852,0.43803209362949186,0.46590834377706142,0.5029963766711123,0,20,0,0.96441629469735335
as_submitted,Data,ADWIN,log(ADD) ~ log(Gamma),DetRate >= 0.5 and Gamma > 1.5,0.41876445579706756,5.0213275505774329,0.014617277878466844,0.018760685707965127,0.77914411583905285,0.39037599493452924,0.44830339724723428,1.6690325279172835e-180,19,0,0.96700593303661697
as_submitted,Data,ADWIN,"ADD ~ Gamma (submitted linear fit, traceability only)",DetRate >= 0.5,4.8730862177348993,462.36233865693583,0.28041523491985221,0.53228216152520613,0.5268168937248392,4.3462943384740234,5.4654909752992316,1.208762018927623e-67,20,0,0.82320963814578141
