Gamma_target,Gamma_realised,attainable,Gamma,arm,c,n_seeds,adwin_impl,river_version,FPR_CUSUM,DetRate_CUSUM,ADD_CUSUM,SEM_CUSUM,n_preonset_leak_CUSUM,arm_CUSUM,FPR_PHT,DetRate_PHT,ADD_PHT,SEM_PHT,n_preonset_leak_PHT,arm_PHT,FPR_ADWIN,DetRate_ADWIN,ADD_ADWIN,SEM_ADWIN,n_preonset_leak_ADWIN,arm_ADWIN
60,59.999999999999659,True,59.999999999999659,reset,2,1000,local,0.23.0,0.034000000000000002,0.875,3098.2022857142856,73.729748820630149,0,reset,0.052999999999999999,0.056000000000000001,NaN,NaN,0,reset,0.126,0.13800000000000001,NaN,NaN,0,reset
75.555555555555557,75.555555555556765,True,75.555555555556765,reset,2,1000,local,0.23.0,0.029999999999999999,0.84899999999999998,3565.2826855123676,79.870969584958132,0,reset,0.049000000000000002,0.051999999999999998,NaN,NaN,0,reset,0.13200000000000001,0.14199999999999999,NaN,NaN,0,reset
91.111111111111114,91.111111111108841,True,91.111111111108841,reset,2,1000,local,0.23.0,0.029999999999999999,0.82499999999999996,3986.7903030303032,87.444197466057759,0,reset,0.044999999999999998,0.044999999999999998,NaN,NaN,0,reset,0.13100000000000001,0.14099999999999999,NaN,NaN,0,reset
106.66666666666666,106.6666666666668,True,106.6666666666668,reset,2,1000,local,0.23.0,0.029999999999999999,0.78900000000000003,4193.6983523447398,86.573019026726996,0,reset,0.043999999999999997,0.043999999999999997,NaN,NaN,0,reset,0.13600000000000001,0.14199999999999999,NaN,NaN,0,reset
122.22222222222223,122.22222222222229,True,122.22222222222229,reset,2,1000,local,0.23.0,0.029000000000000001,0.76600000000000001,4453.0078328981726,88.404042136376816,0,reset,0.042999999999999997,0.042999999999999997,NaN,NaN,0,reset,0.13400000000000001,0.14299999999999999,NaN,NaN,0,reset
137.77777777777777,137.77777777777555,True,137.77777777777555,reset,2,1000,local,0.23.0,0.027,0.74399999999999999,4664.5672043010754,88.263529717869403,0,reset,0.040000000000000001,0.040000000000000001,NaN,NaN,0,reset,0.13500000000000001,0.14499999999999999,NaN,NaN,0,reset
153.33333333333331,153.3333333333353,True,153.3333333333353,reset,2,1000,local,0.23.0,0.025999999999999999,0.73199999999999998,4938.7377049180332,91.719230546308523,0,reset,0.036999999999999998,0.037999999999999999,NaN,NaN,0,reset,0.13700000000000001,0.14299999999999999,NaN,NaN,0,reset
168.88888888888889,168.88888888888508,True,168.88888888888508,reset,2,1000,local,0.23.0,0.025000000000000001,0.71599999999999997,5150.5223463687153,93.417711352623186,0,reset,0.035999999999999997,0.037999999999999999,NaN,NaN,0,reset,0.13400000000000001,0.14399999999999999,NaN,NaN,0,reset
184.44444444444446,184.44444444444062,True,184.44444444444062,reset,2,1000,local,0.23.0,0.023,0.69799999999999995,5315.250716332378,94.139732223016026,0,reset,0.035999999999999997,0.036999999999999998,NaN,NaN,0,reset,0.13300000000000001,0.14299999999999999,NaN,NaN,0,reset
200,199.99999999999488,True,199.99999999999488,reset,2,1000,local,0.23.0,0.023,0.68600000000000005,5517.8527696792999,96.719958631319372,0,reset,0.032000000000000001,0.033000000000000002,NaN,NaN,0,reset,0.13300000000000001,0.14199999999999999,NaN,NaN,0,reset
1,1.1739130434782608,False,1.1739130434782608,warmstart,2,1000,local,0.23.0,0.083000000000000004,1,44.395000000000003,0.6519823425523118,0,warmstart,0.307,1,28.797999999999998,0.53013130071709602,9,warmstart,0.023,1,91.772000000000006,1.0161043332256783,19,warmstart
6.4444444444444446,6.4444444444444402,True,6.4444444444444402,warmstart,2,1000,local,0.23.0,0.029000000000000001,0.99399999999999999,344.38028169014086,7.140598606679772,0,warmstart,0.099000000000000005,0.97899999999999998,233.37385086823289,4.8233071513936778,0,warmstart,0.037999999999999999,0.997,271.23169508525575,3.8796668544490069,2,warmstart
11.888888888888889,11.888888888888962,True,11.888888888888962,warmstart,2,1000,local,0.23.0,0.033000000000000002,0.98199999999999998,733.97556008146637,28.55631411994538,0,warmstart,0.084000000000000005,0.92100000000000004,464.42128121606947,9.9052373900350208,0,warmstart,0.058000000000000003,0.99199999999999999,404.44153225806451,7.0511070348185614,0,warmstart
