source,ticker,c,arm,n_onsets,lambda_star,FPR_achieved,DetRate,CI_low,CI_high,ADD,SEM,add_reliable
Real_BTC,BTC,0.75,Concept,106,11.231463134765626,0.04716981132075472,1,0.96502724142652774,1,48.60377358490566,2.11420458475907,True
Real_BTC,BTC,0.75,Eco,106,34.180670410156253,0.04716981132075472,1,0.96502724142652774,1,57.113207547169814,1.6096629244288074,True
Real_BTC,BTC,1,Concept,106,11.231463134765626,0.04716981132075472,1,0.96502724142652774,1,40.028301886792455,1.4470884793736551,True
Real_BTC,BTC,1,Eco,106,34.180670410156253,0.04716981132075472,1,0.96502724142652774,1,44.650943396226417,1.0996975580880848,True
Real_BTC,BTC,1.25,Concept,106,11.231463134765626,0.04716981132075472,1,0.96502724142652774,1,35.858490566037737,0.95226385927421897,True
Real_BTC,BTC,1.25,Eco,106,34.180670410156253,0.04716981132075472,1,0.96502724142652774,1,37.764150943396224,0.83131911531202651,True
Real_BTC,BTC,1.5,Concept,106,11.231463134765626,0.04716981132075472,1,0.96502724142652774,1,33.264150943396224,0.71776296582810406,True
Real_BTC,BTC,1.5,Eco,106,34.180670410156253,0.04716981132075472,1,0.96502724142652774,1,33.018867924528301,0.63663256302623472,True
Real_ETH,ETH,0.10000000000000001,Concept,72,7.8000050944658499,0.041666666666666664,0.43055555555555558,0.32257905786705865,0.54556693832689385,226.70967741935485,25.7979499523668,False
Real_ETH,ETH,0.10000000000000001,Eco,72,39.816970213501662,0.041666666666666664,0.4861111111111111,0.37432674529071863,0.59930245394807191,324.82857142857142,16.665275432701776,False
Real_ETH,ETH,0.14999999999999999,Concept,72,7.8000050944658499,0.041666666666666664,0.59722222222222221,0.48180671684951565,0.70278888847895093,122.90697674418605,12.261254427846682,False
Real_ETH,ETH,0.14999999999999999,Eco,72,39.816970213501662,0.041666666666666664,0.56944444444444442,0.45443306167310615,0.67742094213294124,260.78048780487802,11.530344942176294,False
