regime,etf,seed,alpha,beta,gamma_penalty,p_data,p_concept,error_rate,classifier_version
Cal. A,BWX,27,0.040000000000000001,0.92000000000000004,3.9200000000000048,3.981283321421199e-18,0.36427991099626006,0.50662499999999999,0.23.0
Cal. A,BWX,28,0.040000000000000001,0.92000000000000004,3.9200000000000048,1.7639685529485431e-63,0.65141911392037577,0.50024999999999997,0.23.0
Cal. A,BWX,29,0.040000000000000001,0.92000000000000004,3.9200000000000048,2.0404405366242895e-25,0.018149132284498687,0.49675000000000002,0.23.0
Cal. A,BWX,30,0.040000000000000001,0.92000000000000004,3.9200000000000048,5.552555951410448e-19,0.28879132732192386,0.50475000000000003,0.23.0
Cal. A,PFF,1,0.050000000000000003,0.90000000000000002,3.900000000000003,9.0613830418851348e-61,0.42932794682716618,0.50112500000000004,0.23.0
Cal. A,PFF,2,0.050000000000000003,0.90000000000000002,3.900000000000003,6.1095371345149933e-35,0.73959461620403089,0.4965,0.23.0
Cal. A,PFF,3,0.050000000000000003,0.90000000000000002,3.900000000000003,8.47890056489542e-65,0.99052022137617912,0.50362499999999999,0.23.0
Cal. A,PFF,4,0.050000000000000003,0.90000000000000002,3.900000000000003,1.1926265094720658e-123,0.82582401023250829,0.51549999999999996,0.23.0
Cal. A,PFF,5,0.050000000000000003,0.90000000000000002,3.900000000000003,1.4201304614470214e-44,0.77645516982090323,0.49887500000000001,0.23.0
Cal. A,PFF,6,0.050000000000000003,0.90000000000000002,3.900000000000003,4.8321883325994311e-42,0.23406032902039839,0.50275000000000003,0.23.0
Cal. A,PFF,7,0.050000000000000003,0.90000000000000002,3.900000000000003,1.938839023863453e-38,0.15705394020381133,0.50700000000000001,0.23.0
Cal. A,PFF,8,0.050000000000000003,0.90000000000000002,3.900000000000003,9.5508406420746917e-44,0.86498377018842287,0.49537500000000001,0.23.0
Cal. A,PFF,9,0.050000000000000003,0.90000000000000002,3.900000000000003,2.8082576988448592e-65,0.35727515954199651,0.50362499999999999,0.23.0
Cal. A,PFF,10,0.050000000000000003,0.90000000000000002,3.900000000000003,1.427152258640676e-146,0.27550251356463162,0.49887500000000001,0.23.0
Cal. A,PFF,11,0.050000000000000003,0.90000000000000002,3.900000000000003,0,0.22880254860269972,0.49887500000000001,0.23.0
Cal. A,PFF,12,0.050000000000000003,0.90000000000000002,3.900000000000003,1.2992841995017613e-191,0.66511520759484311,0.49437500000000001,0.23.0
Cal. A,PFF,13,0.050000000000000003,0.90000000000000002,3.900000000000003,0,0.30226980831837158,0.48812499999999998,0.23.0
Cal. A,PFF,14,0.050000000000000003,0.90000000000000002,3.900000000000003,4.1062423881997412e-118,0.51443766361629772,0.50275000000000003,0.23.0
Cal. A,PFF,15,0.050000000000000003,0.90000000000000002,3.900000000000003,8.5155918563524361e-49,0.8927843853116062,0.49712499999999998,0.23.0
Cal. A,PFF,16,0.050000000000000003,0.90000000000000002,3.900000000000003,2.2866107743572886e-77,0.60492619452856822,0.49525000000000002,0.23.0
Cal. A,PFF,17,0.050000000000000003,0.90000000000000002,3.900000000000003,2.224586365237384e-105,0.42078993189740971,0.49249999999999999,0.23.0
Cal. A,PFF,18,0.050000000000000003,0.90000000000000002,3.900000000000003,5.7794462228563947e-84,0.52831056098376972,0.4995,0.23.0
Cal. A,PFF,19,0.050000000000000003,0.90000000000000002,3.900000000000003,4.6757962049436329e-105,0.97084978065573557,0.496,0.23.0
Cal. A,PFF,20,0.050000000000000003,0.90000000000000002,3.900000000000003,4.5946113560516014e-113,0.4718322821540023,0.51000000000000001,0.23.0
Cal. A,PFF,21,0.050000000000000003,0.90000000000000002,3.900000000000003,1.2992328010291997e-45,0.46735261095411373,0.49399999999999999,0.23.0
Cal. A,PFF,22,0.050000000000000003,0.90000000000000002,3.900000000000003,2.3349007429555435e-85,0.67078985542115588,0.49149999999999999,0.23.0
Cal. A,PFF,23,0.050000000000000003,0.90000000000000002,3.900000000000003,0,0.3226227364252246,0.50987499999999997,0.23.0
Cal. A,PFF,24,0.050000000000000003,0.90000000000000002,3.900000000000003,3.2810154369760107e-30,0.15371383859407228,0.49875000000000003,0.23.0
Cal. A,PFF,25,0.050000000000000003,0.90000000000000002,3.900000000000003,1.7555929592755201e-74,0.056798443937805629,0.50237500000000002,0.23.0
Cal. A,PFF,26,0.050000000000000003,0.90000000000000002,3.900000000000003,7.0927860378340979e-35,0.72497728023093688,0.50387499999999996,0.23.0
Cal. A,PFF,27,0.050000000000000003,0.90000000000000002,3.900000000000003,7.7480979092053816e-192,0.53239259573300379,0.50437500000000002,0.23.0
Cal. A,PFF,28,0.050000000000000003,0.90000000000000002,3.900000000000003,5.0875192698614628e-53,0.35924891100522982,0.49875000000000003,0.23.0
Cal. A,PFF,29,0.050000000000000003,0.90000000000000002,3.900000000000003,6.8162186866682045e-49,0.34833071175603514,0.50749999999999995,0.23.0
Cal. A,PFF,30,0.050000000000000003,0.90000000000000002,3.900000000000003,2.085588361614974e-65,0.29480977135851461,0.49612499999999998,0.23.0
Cal. A,SPY,1,0.080000000000000002,0.88,8.320754716981126,5.9204282524619179e-215,0.17537899449730701,0.49487500000000001,0.23.0
Cal. A,SPY,2,0.080000000000000002,0.88,8.320754716981126,0,0.95663282362199098,0.49299999999999999,0.23.0
Cal. A,SPY,3,0.080000000000000002,0.88,8.320754716981126,0,0.6078943306225848,0.49349999999999999,0.23.0
Cal. A,SPY,4,0.080000000000000002,0.88,8.320754716981126,3.7124641603289405e-180,0.8353475812867952,0.49787500000000001,0.23.0
Cal. A,SPY,5,0.080000000000000002,0.88,8.320754716981126,0,0.57046876270839708,0.50949999999999995,0.23.0
Cal. A,SPY,6,0.080000000000000002,0.88,8.320754716981126,0,0.31777947982856458,0.49462499999999998,0.23.0
Cal. A,SPY,7,0.080000000000000002,0.88,8.320754716981126,0,0.14717710857139785,0.50600000000000001,0.23.0
Cal. A,SPY,8,0.080000000000000002,0.88,8.320754716981126,0,0.31317197974881489,0.49812499999999998,0.23.0
Cal. A,SPY,9,0.080000000000000002,0.88,8.320754716981126,4.4830164412760387e-200,0.32887185909114353,0.503,0.23.0
