task_type,c,seed,p_val
binary,0.5,13,9.9460179164032216e-38
binary,0.5,14,1.151354042119535e-34
binary,0.5,15,1.8388575183279894e-19
binary,0.5,16,2.8390505462088983e-16
binary,0.5,17,3.9550212104137977e-27
binary,0.5,18,4.5773393962634135e-28
binary,0.5,19,1.8454573738681926e-28
binary,0.5,20,6.7619001695828467e-13
binary,0.5,21,1.9579306824784326e-10
binary,0.5,22,2.0019185351971675e-13
binary,0.5,23,1.501900312236398e-05
binary,0.5,24,4.1606283555392772e-06
binary,0.5,25,8.0876012417418595e-22
binary,0.5,26,2.3788749736487509e-15
binary,0.5,27,4.896277312289419e-49
binary,0.5,28,1.5353438538682775e-35
binary,0.5,29,5.7752555010790958e-47
binary,0.5,30,5.6671530390100085e-23
binary,0.5,31,1.1938458683917879e-10
binary,0.5,32,5.8409794803069931e-14
binary,0.5,33,9.7993564898202165e-06
binary,0.5,34,8.9477959463718916e-21
binary,0.5,35,3.1861856102005889e-11
binary,0.5,36,2.9974198002340908e-10
binary,0.5,37,1.0976747162537224e-40
binary,0.5,38,1.842752246413045e-24
binary,0.5,39,6.7898980686564945e-14
binary,0.5,40,1.7077270018583965e-18
binary,0.5,41,4.2899828027688428e-21
binary,0.5,42,1.2555975038137591e-17
binary,0.5,43,1.1394121947452223e-18
binary,0.5,44,7.8327232047259583e-09
binary,0.5,45,1.773425962043866e-12
binary,0.5,46,8.7843760191891528e-10
binary,0.5,47,3.8910366669327577e-16
binary,0.5,48,4.4772692514223297e-12
binary,0.5,49,1.8560228947295091e-32
binary,0.5,50,0.0039625610224213476
binary,0.5,51,8.0355413578438745e-12
binary,0.5,52,1.2101310323702231e-09
binary,0.5,53,3.8764632854904525e-07
binary,0.5,54,3.0810291399290448e-09
binary,0.5,55,2.7341546039039144e-27
binary,0.5,56,3.8353279319514259e-20
binary,0.5,57,5.7576844181249307e-22
binary,0.5,58,2.1595598537037756e-26
binary,0.5,59,5.9015436215154889e-23
binary,0.5,60,1.5026884786136831e-27
binary,0.5,61,9.9000857064821011e-12
binary,0.5,62,1.2615789615549619e-06
binary,0.5,63,1.5012887995103205e-12
binary,0.5,64,6.7367611267782891e-20
binary,0.5,65,3.8078918431710481e-24
binary,0.5,66,1.129124349859019e-13
binary,0.5,67,6.3371708140196106e-12
binary,0.5,68,1.8230031769999025e-06
binary,0.5,69,6.7245101103913999e-07
binary,0.5,70,5.5549880850136837e-18
binary,0.5,71,1.3583338267948254e-20
binary,0.5,72,2.0420432212840066e-07
binary,0.5,73,1.1820288613115401e-12
binary,0.5,74,1.9465095886183778e-09
binary,0.5,75,5.6239156400501212e-22
binary,0.5,76,3.3217519230925837e-12
binary,0.5,77,2.1657403673197757e-12
binary,0.5,78,1.8646348277794366e-15
binary,0.5,79,1.2207113789408879e-19
binary,0.5,80,4.9313470842575431e-41
binary,0.5,81,2.0613979422325278e-18
binary,0.5,82,4.5914249267983735e-08
binary,0.5,83,1.6139791912445594e-15
binary,0.5,84,5.4122972171632144e-21
binary,0.5,85,2.1678729266136818e-11
binary,0.5,86,6.2957102229679563e-61
binary,0.5,87,1.5424107589469164e-27
binary,0.5,88,2.4588866364408338e-19
binary,0.5,89,1.4985994688997842e-14
binary,0.5,90,0.0011368621705937403
binary,0.5,91,7.0102336262011196e-14
binary,0.5,92,2.9528964975732193e-07
binary,0.5,93,1.1449068148809835e-18
binary,0.5,94,2.7848072837803018e-19
binary,0.5,95,5.9946589531958449e-17
binary,0.5,96,1.8327299924571709e-20
binary,0.5,97,6.586286955927501e-07
binary,0.5,98,8.227695906973296e-18
binary,0.5,99,3.9654595494471383e-11
binary,0.5,100,0.0010983454094382296
binary,1,1,1.5900100710274412e-33
binary,1,2,4.3965860408990618e-59
binary,1,3,2.1309571771499003e-86
binary,1,4,1.7080124695666947e-71
binary,1,5,1.3731993382162896e-106
binary,1,6,1.0162455070718737e-88
binary,1,7,1.0605912927141752e-75
binary,1,8,1.1504718558996431e-99
binary,1,9,9.4790607804503941e-93
binary,1,10,2.2191240628284314e-54
binary,1,11,7.5339386220502365e-62
binary,1,12,1.9924360745737753e-101
binary,1,13,3.1843552358544231e-162
binary,1,14,2.3059359143592824e-164
binary,1,15,1.5562022892407569e-115
binary,1,16,1.4579991489674723e-62
binary,1,17,1.16289667450981e-229
binary,1,18,2.761336950131385e-192
binary,1,19,2.0064681364131962e-197
binary,1,20,6.5784187871300821e-61
binary,1,21,9.4889706213495466e-138
binary,1,22,6.038763098000446e-59
binary,1,23,1.3808354192147424e-37
binary,1,24,7.079675182785559e-62
binary,1,25,3.6725040325844347e-117
binary,1,26,5.2838515754706295e-113
binary,1,27,1.9395659094282866e-142
binary,1,28,3.1131058506539702e-150
binary,1,29,0
binary,1,30,6.4478382876653877e-72
binary,1,31,5.3110734636539208e-78
binary,1,32,6.8971716512408347e-93
binary,1,33,2.8572803940074319e-43
binary,1,34,5.7520237665826947e-147
binary,1,35,2.2760473892311466e-113
binary,1,36,1.3312349920558472e-43
binary,1,37,1.6119813054863912e-128
