cell_index,replicate_index,alpha_target,beta_target,sigma_target,omega_target,n_obs,nu,alpha_hat,beta_hat,omega_hat,converged,alpha_margin,beta_margin,alpha_within_tol,beta_within_tol,cell_pass
28,6,0.080000000000000002,0.90000000000000002,0.10000000000000001,0.00020000000000000023,5000,7,0.085276000000000005,0.88048499999999996,0.00025319880264538028,True,0.0052760000000000029,-0.01951500000000006,True,True,True
29,7,0.080000000000000002,0.90000000000000002,0.10000000000000001,0.00020000000000000023,5000,7,0.082902000000000003,0.89698199999999995,0.00016971482413989823,True,0.0029020000000000018,-0.0030180000000000762,True,True,True
30,8,0.080000000000000002,0.90000000000000002,0.10000000000000001,0.00020000000000000023,5000,7,0.086555999999999994,0.88491799999999998,0.00024127047758686762,True,0.0065559999999999924,-0.01508200000000004,True,True,True
31,9,0.080000000000000002,0.90000000000000002,0.10000000000000001,0.00020000000000000023,5000,7,0.082522999999999999,0.898559,0.00021257838199985977,True,0.0025229999999999975,-0.0014410000000000256,True,True,True
32,10,0.080000000000000002,0.90000000000000002,0.10000000000000001,0.00020000000000000023,5000,7,0.079741999999999993,0.89190199999999997,0.00024295629101813991,True,-0.00025800000000000822,-0.0080980000000000496,True,True,True
33,0,0.080000000000000002,0.90000000000000002,0.0092999999999999992,1.7298000000000012e-06,5000,7,0.065503000000000006,0.90962399999999999,1.9487160622862562e-06,True,-0.014496999999999996,0.0096239999999999659,True,True,True
34,1,0.080000000000000002,0.90000000000000002,0.0092999999999999992,1.7298000000000012e-06,5000,7,0.102366,0.88678199999999996,1.6502025404971056e-06,True,0.022365999999999997,-0.013218000000000063,True,True,True
35,2,0.080000000000000002,0.90000000000000002,0.0092999999999999992,1.7298000000000012e-06,5000,7,0.087345999999999993,0.88270899999999997,2.2174172340437329e-06,True,0.0073459999999999914,-0.017291000000000056,True,True,True
36,3,0.080000000000000002,0.90000000000000002,0.0092999999999999992,1.7298000000000012e-06,5000,7,0.080189999999999997,0.89593800000000001,2.1054980153725472e-06,True,0.00018999999999999573,-0.00406200000000001,True,True,True
37,4,0.080000000000000002,0.90000000000000002,0.0092999999999999992,1.7298000000000012e-06,5000,7,0.067530999999999994,0.91511699999999996,1.2822496192600703e-06,True,-0.012469000000000008,0.015116999999999936,True,True,True
38,5,0.080000000000000002,0.90000000000000002,0.0092999999999999992,1.7298000000000012e-06,5000,7,0.066490999999999995,0.91517000000000004,1.4414766890219463e-06,True,-0.013509000000000007,0.015170000000000017,True,True,True
39,6,0.080000000000000002,0.90000000000000002,0.0092999999999999992,1.7298000000000012e-06,5000,7,0.085276000000000005,0.88048499999999996,2.1899164440798933e-06,True,0.0052760000000000029,-0.01951500000000006,True,True,True
40,7,0.080000000000000002,0.90000000000000002,0.0092999999999999992,1.7298000000000012e-06,5000,7,0.082902000000000003,0.89698199999999995,1.4678635139859792e-06,True,0.0029020000000000018,-0.0030180000000000762,True,True,True
41,8,0.080000000000000002,0.90000000000000002,0.0092999999999999992,1.7298000000000012e-06,5000,7,0.086555999999999994,0.88491799999999998,2.086748360648817e-06,True,0.0065559999999999924,-0.01508200000000004,True,True,True
42,9,0.080000000000000002,0.90000000000000002,0.0092999999999999992,1.7298000000000012e-06,5000,7,0.082526000000000002,0.89855600000000002,1.8385904259167869e-06,True,0.0025260000000000005,-0.0014440000000000008,True,True,True
