w,Gamma,s_max,v_max,dmu_std_target,delta_P,lambda_star_Data,lambda_star_Concept,lambda_iid_H,w_star,w_over_wstar,mon_len,regime,FPR_Data_val,FPR_Concept_val,censored_Data,DetRate_Data,ADD_Data,MED_Data,SEM_Data,DetRate_Concept,ADD_Concept,MED_Concept,SEM_Concept
20604,1.999999999999993,2.2700464519816634,5.153110894154538,2.0,0.5,626.3244713188411,19.020000000000003,303.0210426690922,1077.408151712324,19.123671903961444,3000000,ramp,0.0325,0.055,0.0,1.0,8474.0,8252.0,73.32532720024204,0.0525,1706533.8095238095,1848320.0,202146.4190779335
33734,1.999999999999993,2.2700464519816634,5.153110894154538,2.0,0.5,626.3244713188411,19.020000000000003,303.0210426690922,1077.408151712324,31.310325568250597,3000000,ramp,0.0325,0.055,0.0,1.0,12611.6625,12343.5,113.65808543586657,0.0525,1706533.8095238095,1848320.0,202146.4190779335
55232,1.999999999999993,2.2700464519816634,5.153110894154538,2.0,0.5,626.3244713188411,19.020000000000003,303.0210426690922,1077.408151712324,51.2637665792855,3000000,ramp,0.0325,0.055,0.0,1.0,18926.67,18455.5,174.0308047595688,0.0525,1706533.8095238095,1848320.0,202146.4190779335
90431,1.999999999999993,2.2700464519816634,5.153110894154538,2.0,0.5,626.3244713188411,19.020000000000003,303.0210426690922,1077.408151712324,83.93383682523478,3000000,ramp,0.0325,0.055,0.0,1.0,28928.9025,28127.0,289.27005367799745,0.0525,1706533.8095238095,1848320.0,202146.4190779335
148061,1.999999999999993,2.2700464519816634,5.153110894154538,2.0,0.5,626.3244713188411,19.020000000000003,303.0210426690922,1077.408151712324,137.42331517047347,3000000,ramp,0.0325,0.055,0.0,1.0,44568.07,42991.0,446.37335213809246,0.0525,1706533.8095238095,1848320.0,202146.4190779335
242417,1.999999999999993,2.2700464519816634,5.153110894154538,2.0,0.5,626.3244713188411,19.020000000000003,303.0210426690922,1077.408151712324,225.00015394790435,3000000,ramp,0.0325,0.055,0.0,1.0,69566.6725,67377.0,718.9327536869629,0.0525,1706533.8095238095,1848320.0,202146.4190779335
182,3.999999999941683,2.3209658439803,5.386882448923187,2.0,0.5,1225.4285030057574,19.020000000000003,303.0210426690922,2154.81630339324,0.08446195609036385,3000000,saturated,0.0475,0.055,0.0025,0.9975,951.5664160401003,881.0,18.091972444874617,0.0525,1706533.8095238095,1848320.0,202146.4190779335
298,3.999999999941683,2.3209658439803,5.386882448923187,2.0,0.5,1225.4285030057574,19.020000000000003,303.0210426690922,2154.81630339324,0.13829485118092544,3000000,saturated,0.0475,0.055,0.0025,0.9975,1022.6015037593985,924.0,18.3613734166876,0.0525,1706533.8095238095,1848320.0,202146.4190779335
487,3.999999999941683,2.3209658439803,5.386882448923187,2.0,0.5,1225.4285030057574,19.020000000000003,303.0210426690922,2154.81630339324,0.22600534404399558,3000000,saturated,0.0475,0.055,0.0025,0.9975,1137.032581453634,1051.0,18.281954550757124,0.0525,1706533.8095238095,1848320.0,202146.4190779335
798,3.999999999941683,2.3209658439803,5.386882448923187,2.0,0.5,1225.4285030057574,19.020000000000003,303.0210426690922,2154.81630339324,0.37033319208851845,3000000,saturated,0.0475,0.055,0.0025,0.9975,1320.829573934837,1261.0,18.54070219497007,0.0525,1706533.8095238095,1848320.0,202146.4190779335
1307,3.999999999941683,2.3209658439803,5.386882448923187,2.0,0.5,1225.4285030057574,19.020000000000003,303.0210426690922,2154.81630339324,0.6065482231324482,3000000,saturated,0.0475,0.055,0.0025,0.9975,1636.1629072681703,1565.0,19.19323578935204,0.0525,1706533.8095238095,1848320.0,202146.4190779335
2139,3.999999999941683,2.3209658439803,5.386882448923187,2.0,0.5,1225.4285030057574,19.020000000000003,303.0210426690922,2154.81630339324,0.9926600224026829,3000000,saturated,0.0475,0.055,0.0025,0.9975,2133.1453634085215,2053.0,20.889107001154112,0.0525,1706533.8095238095,1848320.0,202146.4190779335
3502,3.999999999941683,2.3209658439803,5.386882448923187,2.0,0.5,1225.4285030057574,19.020000000000003,303.0210426690922,2154.81630339324,1.6251965397167814,3000000,ramp,0.0475,0.055,0.0025,0.9975,2876.9273182957395,2813.0,26.95146586270688,0.0525,1706533.8095238095,1848320.0,202146.4190779335
5734,3.999999999941683,2.3209658439803,5.386882448923187,2.0,0.5,1225.4285030057574,19.020000000000003,303.0210426690922,2154.81630339324,2.6610156935282765,3000000,ramp,0.0475,0.055,0.0025,0.9975,3963.3258145363407,3905.0,36.43178756837324,0.0525,1706533.8095238095,1848320.0,202146.4190779335
9389,3.999999999941683,2.3209658439803,5.386882448923187,2.0,0.5,1225.4285030057574,19.020000000000003,303.0210426690922,2154.81630339324,4.357215965562782,3000000,ramp,0.0475,0.055,0.0025,0.9975,5566.649122807017,5470.0,50.789562988376126,0.0525,1706533.8095238095,1848320.0,202146.4190779335
15372,3.999999999941683,2.3209658439803,5.386882448923187,2.0,0.5,1225.4285030057574,19.020000000000003,303.0210426690922,2154.81630339324,7.133786752863039,3000000,ramp,0.0475,0.055,0.0025,0.9975,7933.293233082707,7623.0,71.50682359154051,0.0525,1706533.8095238095,1848320.0,202146.4190779335
25168,3.999999999941683,2.3209658439803,5.386882448923187,2.0,0.5,1225.4285030057574,19.020000000000003,303.0210426690922,2154.81630339324,11.679881927924601,3000000,ramp,0.0475,0.055,0.0025,0.9975,11423.05513784461,11075.0,106.8170792498056,0.0525,1706533.8095238095,1848320.0,202146.4190779335
41208,3.999999999941683,2.3209658439803,5.386882448923187,2.0,0.5,1225.4285030057574,19.020000000000003,303.0210426690922,2154.81630339324,19.123671904240187,3000000,ramp,0.0475,0.055,0.0025,0.9975,16667.877192982458,16200.0,164.86471967921062,0.0525,1706533.8095238095,1848320.0,202146.4190779335
67468,3.999999999941683,2.3209658439803,5.386882448923187,2.0,0.5,1225.4285030057574,19.020000000000003,303.0210426690922,2154.81630339324,31.31032556870697,3000000,ramp,0.0475,0.055,0.0025,0.9975,24743.075187969924,23870.0,256.45088402476097,0.0525,1706533.8095238095,1848320.0,202146.4190779335
110465,3.999999999941683,2.3209658439803,5.386882448923187,2.0,0.5,1225.4285030057574,19.020000000000003,303.0210426690922,2154.81630339324,51.264230656714524,3000000,ramp,0.0475,0.055,0.0025,0.9975,37166.44360902256,35518.0,394.3066911281591,0.0525,1706533.8095238095,1848320.0,202146.4190779335
180862,3.999999999941683,2.3209658439803,5.386882448923187,2.0,0.5,1225.4285030057574,19.020000000000003,303.0210426690922,2154.81630339324,83.93383682645818,3000000,ramp,0.0475,0.055,0.0025,0.9975,56919.46365914787,54734.0,629.7806218735248,0.0525,1706533.8095238095,1848320.0,202146.4190779335
296121,3.999999999941683,2.3209658439803,5.386882448923187,2.0,0.5,1225.4285030057574,19.020000000000003,303.0210426690922,2154.81630339324,137.4228510957947,3000000,ramp,0.0475,0.055,0.0025,0.9975,87905.15037593985,83957.0,987.8917580365336,0.0525,1706533.8095238095,1848320.0,202146.4190779335
484834,3.999999999941683,2.3209658439803,5.386882448923187,2.0,0.5,1225.4285030057574,19.020000000000003,303.0210426690922,2154.81630339324,225.0001539511839,3000000,ramp,0.0475,0.055,0.0025,0.9975,137235.94987468672,133162.0,1560.1335247782715,0.0525,1706533.8095238095,1848320.0,202146.4190779335
364,7.999999999758865,2.390990461570558,5.71683538732139,2.0,0.5,3084.110915091769,19.020000000000003,303.0210426690922,4309.632606719411,0.0844619560916783,3000000,saturated,0.04,0.055,0.0025,0.9975,2512.9924812030076,2100.0,121.07454213707508,0.0525,1706533.8095238095,1848320.0,202146.4190779335
595,7.999999999758865,2.390990461570558,5.71683538732139,2.0,0.5,3084.110915091769,19.020000000000003,303.0210426690922,4309.632606719411,0.13806281284216645,3000000,saturated,0.04,0.055,0.0025,0.9975,2646.1077694235587,2250.0,120.55373024645915,0.0525,1706533.8095238095,1848320.0,202146.4190779335
975,7.999999999758865,2.390990461570558,5.71683538732139,2.0,0.5,3084.110915091769,19.020000000000003,303.0210426690922,4309.632606719411,0.226237382388424,3000000,saturated,0.04,0.055,0.0025,0.9975,2881.3634085213034,2465.0,121.25013269920302,0.0525,1706533.8095238095,1848320.0,202146.4190779335
1596,7.999999999758865,2.390990461570558,5.71683538732139,2.0,0.5,3084.110915091769,19.020000000000003,303.0210426690922,4309.632606719411,0.3703331920942818,3000000,saturated,0.04,0.055,0.0025,0.9975,3249.593984962406,2833.0,120.35636602207443,0.0525,1706533.8095238095,1848320.0,202146.4190779335
2613,7.999999999758865,2.390990461570558,5.71683538732139,2.0,0.5,3084.110915091769,19.020000000000003,303.0210426690922,4309.632606719411,0.6063161848009764,3000000,saturated,0.04,0.055,0.0025,0.9975,3847.027568922306,3434.0,120.04930302836893,0.0525,1706533.8095238095,1848320.0,202146.4190779335
4278,7.999999999758865,2.390990461570558,5.71683538732139,2.0,0.5,3084.110915091769,19.020000000000003,303.0210426690922,4309.632606719411,0.9926600224181312,3000000,saturated,0.04,0.055,0.0025,0.9975,4859.478696741855,4467.0,128.26286460252499,0.0525,1706533.8095238095,1848320.0,202146.4190779335
7005,7.999999999758865,2.390990461570558,5.71683538732139,2.0,0.5,3084.110915091769,19.020000000000003,303.0210426690922,4309.632606719411,1.6254285780829847,3000000,ramp,0.04,0.055,0.0025,0.9975,6452.328320802005,6077.0,136.10094687267198,0.0525,1706533.8095238095,1848320.0,202146.4190779335
11469,7.999999999758865,2.390990461570558,5.71683538732139,2.0,0.5,3084.110915091769,19.020000000000003,303.0210426690922,4309.632606719411,2.6612477319106,3000000,ramp,0.04,0.055,0.0025,0.9975,8723.29573934837,8196.0,147.3856016705701,0.0525,1706533.8095238095,1848320.0,202146.4190779335
18778,7.999999999758865,2.390990461570558,5.71683538732139,2.0,0.5,3084.110915091769,19.020000000000003,303.0210426690922,4309.632606719411,4.357215965630591,3000000,ramp,0.04,0.055,0.0025,0.9975,12080.927318295739,11439.0,180.8729931539652,0.0525,1706533.8095238095,1848320.0,202146.4190779335
30744,7.999999999758865,2.390990461570558,5.71683538732139,2.0,0.5,3084.110915091769,19.020000000000003,303.0210426690922,4309.632606719411,7.133786752974059,3000000,ramp,0.04,0.055,0.0025,0.9975,16859.997493734336,16101.0,230.79796266271322,0.0525,1706533.8095238095,1848320.0,202146.4190779335
50337,7.999999999758865,2.390990461570558,5.71683538732139,2.0,0.5,3084.110915091769,19.020000000000003,303.0210426690922,4309.632606719411,11.680113966447282,3000000,ramp,0.04,0.055,0.0025,0.9975,24002.521303258145,22569.0,324.8862651736422,0.0525,1706533.8095238095,1848320.0,202146.4190779335
82415,7.999999999758865,2.390990461570558,5.71683538732139,2.0,0.5,3084.110915091769,19.020000000000003,303.0210426690922,4309.632606719411,19.123439866196886,3000000,ramp,0.04,0.055,0.0025,0.9975,34940.48120300752,32661.0,517.5390180616704,0.0525,1706533.8095238095,1848320.0,202146.4190779335
134937,7.999999999758865,2.390990461570558,5.71683538732139,2.0,0.5,3084.110915091769,19.020000000000003,303.0210426690922,4309.632606719411,31.31055760753515,3000000,ramp,0.04,0.055,0.0025,0.9975,51447.22305764411,48510.0,786.8315003763084,0.0525,1706533.8095238095,1848320.0,202146.4190779335
220929,7.999999999758865,2.390990461570558,5.71683538732139,2.0,0.5,3084.110915091769,19.020000000000003,303.0210426690922,4309.632606719411,51.26399861917141,3000000,ramp,0.04,0.055,0.0025,0.9975,77404.41353383458,72909.0,1198.9463650049809,0.0525,1706533.8095238095,1848320.0,202146.4190779335
361723,7.999999999758865,2.390990461570558,5.71683538732139,2.0,0.5,3084.110915091769,19.020000000000003,303.0210426690922,4309.632606719411,83.93360478942348,3000000,ramp,0.04,0.055,0.0025,0.9975,118164.25313283208,110834.0,1928.5621763619167,0.0525,1706533.8095238095,1848320.0,202146.4190779335
592243,7.999999999758865,2.390990461570558,5.71683538732139,2.0,0.5,3084.110915091769,19.020000000000003,303.0210426690922,4309.632606719411,137.42308313627424,3000000,ramp,0.04,0.055,0.0025,0.9975,180063.88471177945,168714.0,3030.9950084467823,0.0525,1706533.8095238095,1848320.0,202146.4190779335
969667,7.999999999758865,2.390990461570558,5.71683538732139,2.0,0.5,3084.110915091769,19.020000000000003,303.0210426690922,4309.632606719411,224.99992191634456,3000000,ramp,0.04,0.055,0.0025,0.9975,280498.9674185464,260476.0,4998.935492789779,0.0525,1706533.8095238095,1848320.0,202146.4190779335
526,11.579999998279618,2.436528846008845,5.936672817433192,2.0,0.5,5006.420741829883,19.020000000000003,303.0210426690922,6238.1931974876015,0.08431928658635382,3000000,saturated,0.0325,0.055,0.0075,0.9925,3906.0554156171283,3227.0,160.51401117981752,0.0525,1706533.8095238095,1848320.0,202146.4190779335
862,11.579999998279618,2.436528846008845,5.936672817433192,2.0,0.5,5006.420741829883,19.020000000000003,303.0210426690922,6238.1931974876015,0.138181036192846,3000000,saturated,0.0325,0.055,0.0075,0.9925,4089.6221662468515,3408.0,159.86894124234038,0.0525,1706533.8095238095,1848320.0,202146.4190779335
1411,11.579999998279618,2.436528846008845,5.936672817433192,2.0,0.5,5006.420741829883,19.020000000000003,303.0210426690922,6238.1931974876015,0.22618728778202518,3000000,saturated,0.0325,0.055,0.0075,0.9925,4414.851385390428,3786.0,158.72834692292702,0.0525,1706533.8095238095,1848320.0,202146.4190779335
2310,11.579999998279618,2.436528846008845,5.936672817433192,2.0,0.5,5006.420741829883,19.020000000000003,303.0210426690922,6238.1931974876015,0.3702995285446337,3000000,saturated,0.0325,0.055,0.0075,0.9925,4968.07556675063,4340.0,158.03996837519136,0.0525,1706533.8095238095,1848320.0,202146.4190779335
3782,11.579999998279618,2.436528846008845,5.936672817433192,2.0,0.5,5006.420741829883,19.020000000000003,303.0210426690922,6238.1931974876015,0.6062652887254566,3000000,saturated,0.0325,0.055,0.0075,0.9925,5908.758186397985,5208.0,159.70608011423798,0.0525,1706533.8095238095,1848320.0,202146.4190779335
6193,11.579999998279618,2.436528846008845,5.936672817433192,2.0,0.5,5006.420741829883,19.020000000000003,303.0210426690922,6238.1931974876015,0.9927554027172799,3000000,saturated,0.0325,0.055,0.0075,0.9925,7361.526448362721,6664.0,164.52887783279826,0.0525,1706533.8095238095,1848320.0,202146.4190779335
10139,11.579999998279618,2.436528846008845,5.936672817433192,2.0,0.5,5006.420741829883,19.020000000000003,303.0210426690922,6238.1931974876015,1.6253103549411434,3000000,ramp,0.0325,0.055,0.0075,0.9925,9625.964735516372,8975.0,177.18185082242437,0.0525,1706533.8095238095,1848320.0,202146.4190779335
16601,11.579999998279618,2.436528846008845,5.936672817433192,2.0,0.5,5006.420741829883,19.020000000000003,303.0210426690922,6238.1931974876015,2.661187217908859,3000000,ramp,0.0325,0.055,0.0075,0.9925,12976.725440806045,12341.0,201.18628446320403,0.0525,1706533.8095238095,1848320.0,202146.4190779335
27180,11.579999998279618,2.436528846008845,5.936672817433192,2.0,0.5,5006.420741829883,19.020000000000003,303.0210426690922,6238.1931974876015,4.357030816382314,3000000,ramp,0.0325,0.055,0.0075,0.9925,17772.748110831235,16918.0,263.3170135932733,0.0525,1706533.8095238095,1848320.0,202146.4190779335
44502,11.579999998279618,2.436528846008845,5.936672817433192,2.0,0.5,5006.420741829883,19.020000000000003,303.0210426690922,6238.1931974876015,7.133796371988437,3000000,ramp,0.0325,0.055,0.0075,0.9925,24909.07808564232,23590.0,366.6927670812911,0.0525,1706533.8095238095,1848320.0,202146.4190779335
72862,11.579999998279618,2.436528846008845,5.936672817433192,2.0,0.5,5006.420741829883,19.020000000000003,303.0210426690922,6238.1931974876015,11.679984523298312,3000000,ramp,0.0325,0.055,0.0075,0.9925,35310.71788413098,33132.0,538.504022735789,0.0525,1706533.8095238095,1848320.0,202146.4190779335
119296,11.579999998279618,2.436528846008845,5.936672817433192,2.0,0.5,5006.420741829883,19.020000000000003,303.0210426690922,6238.1931974876015,19.123485955524078,3000000,ramp,0.0325,0.055,0.0075,0.9925,50937.91939546599,47745.0,809.0692910987458,0.0525,1706533.8095238095,1848320.0,202146.4190779335
195321,11.579999998279618,2.436528846008845,5.936672817433192,2.0,0.5,5006.420741829883,19.020000000000003,303.0210426690922,6238.1931974876015,31.310508318123983,3000000,ramp,0.0325,0.055,0.0075,0.9925,74807.35012594459,69286.0,1211.387976946007,0.0525,1706533.8095238095,1848320.0,202146.4190779335
319795,11.579999998279618,2.436528846008845,5.936672817433192,2.0,0.5,5006.420741829883,19.020000000000003,303.0210426690922,6238.1931974876015,51.264042307762395,3000000,ramp,0.0325,0.055,0.0075,0.9925,112941.81108312342,105110.0,1937.0178052175036,0.0525,1706533.8095238095,1848320.0,202146.4190779335
523595,11.579999998279618,2.436528846008845,5.936672817433192,2.0,0.5,5006.420741829883,19.020000000000003,303.0210426690922,6238.1931974876015,83.93375828931926,3000000,ramp,0.0325,0.055,0.0075,0.9925,169792.7531486146,157215.0,3004.559504415357,0.0525,1706533.8095238095,1848320.0,202146.4190779335
857271,11.579999998279618,2.436528846008845,5.936672817433192,2.0,0.5,5006.420741829883,19.020000000000003,303.0210426690922,6238.1931974876015,137.42296412769986,3000000,ramp,0.0325,0.055,0.0075,0.9925,260049.98236775817,240647.0,4763.314470327492,0.0525,1706533.8095238095,1848320.0,202146.4190779335
1403593,11.579999998279618,2.436528846008845,5.936672817433192,2.0,0.5,5006.420741829883,19.020000000000003,303.0210426690922,6238.1931974876015,224.9999247482892,3000000,ramp,0.0325,0.055,0.0075,0.9925,401044.69521410577,369113.0,7715.610904205382,0.0525,1706533.8095238095,1848320.0,202146.4190779335
909,19.999999999166857,2.514475953485813,6.322589320658389,2.0,0.5,11846.728298888347,19.020000000000003,303.0210426690922,10774.081516674461,0.08436914075628535,3000000,saturated,0.035,0.055,0.01,0.99,13466.007575757576,7026.5,3279.914168286971,0.0525,1706533.8095238095,1848320.0,202146.4190779335
1488,19.999999999166857,2.514475953485813,6.322589320658389,2.0,0.5,11846.728298888347,19.020000000000003,303.0210426690922,10774.081516674461,0.13810922051193905,3000000,saturated,0.035,0.055,0.01,0.99,13838.027777777777,7372.0,3281.357188533217,0.0525,1706533.8095238095,1848320.0,202146.4190779335
2437,19.999999999166857,2.514475953485813,6.322589320658389,2.0,0.5,11846.728298888347,19.020000000000003,303.0210426690922,10774.081516674461,0.22619097472284644,3000000,saturated,0.035,0.055,0.01,0.99,14422.025252525253,7997.5,3279.8545600211637,0.0525,1706533.8095238095,1848320.0,202146.4190779335
3990,19.999999999166857,2.514475953485813,6.322589320658389,2.0,0.5,11846.728298888347,19.020000000000003,303.0210426690922,10774.081516674461,0.37033319209854626,3000000,saturated,0.035,0.055,0.01,0.99,15398.429292929293,8915.5,3277.5724429018555,0.0525,1706533.8095238095,1848320.0,202146.4190779335
6533,19.999999999166857,2.514475953485813,6.322589320658389,2.0,0.5,11846.728298888347,19.020000000000003,303.0210426690922,10774.081516674461,0.606362592476141,3000000,saturated,0.035,0.055,0.01,0.99,16939.5202020202,10364.0,3274.661032817669,0.0525,1706533.8095238095,1848320.0,202146.4190779335
10696,19.999999999166857,2.514475953485813,6.322589320658389,2.0,0.5,11846.728298888347,19.020000000000003,303.0210426690922,10774.081516674461,0.9927528377659275,3000000,saturated,0.035,0.055,0.01,0.99,19458.515151515152,13095.0,3267.713120985676,0.0525,1706533.8095238095,1848320.0,202146.4190779335
17512,19.999999999166857,2.514475953485813,6.322589320658389,2.0,0.5,11846.728298888347,19.020000000000003,303.0210426690922,10774.081516674461,1.6253821704335194,3000000,ramp,0.035,0.055,0.01,0.99,23323.489898989897,16992.0,3255.318628901664,0.0525,1706533.8095238095,1848320.0,202146.4190779335
28672,19.999999999166857,2.514475953485813,6.322589320658389,2.0,0.5,11846.728298888347,19.020000000000003,303.0210426690922,10774.081516674461,2.6612013242730623,3000000,ramp,0.035,0.055,0.01,0.99,29266.06818181818,22820.0,3240.0451466694017,0.0525,1706533.8095238095,1848320.0,202146.4190779335
46944,19.999999999166857,2.514475953485813,6.322589320658389,2.0,0.5,11846.728298888347,19.020000000000003,303.0210426690922,10774.081516674461,4.3571231503444,3000000,ramp,0.035,0.055,0.01,0.99,37743.34848484849,31136.5,3224.2475831771612,0.0525,1706533.8095238095,1848320.0,202146.4190779335
76860,19.999999999166857,2.514475953485813,6.322589320658389,2.0,0.5,11846.728298888347,19.020000000000003,303.0210426690922,10774.081516674461,7.133786753056207,3000000,ramp,0.035,0.055,0.01,0.99,50217.03787878788,43062.0,3219.6515959295452,0.0525,1706533.8095238095,1848320.0,202146.4190779335
125842,19.999999999166857,2.514475953485813,6.322589320658389,2.0,0.5,11846.728298888347,19.020000000000003,303.0210426690922,10774.081516674461,11.6800675589136,3000000,ramp,0.035,0.055,0.01,0.99,68509.19191919192,59611.0,3246.695257177164,0.0525,1706533.8095238095,1848320.0,202146.4190779335
206038,19.999999999166857,2.514475953485813,6.322589320658389,2.0,0.5,11846.728298888347,19.020000000000003,303.0210426690922,10774.081516674461,19.12348627408528,3000000,ramp,0.035,0.055,0.01,0.99,96714.55555555556,84304.5,3398.681646522067,0.0525,1706533.8095238095,1848320.0,202146.4190779335
337342,19.999999999166857,2.514475953485813,6.322589320658389,2.0,0.5,11846.728298888347,19.020000000000003,303.0210426690922,10774.081516674461,31.310511200227516,3000000,ramp,0.035,0.055,0.01,0.99,139411.44949494948,127053.0,3755.921616173991,0.0525,1706533.8095238095,1848320.0,202146.4190779335
552324,19.999999999166857,2.514475953485813,6.322589320658389,2.0,0.5,11846.728298888347,19.020000000000003,303.0210426690922,10774.081516674461,51.26413784276628,3000000,ramp,0.035,0.055,0.01,0.99,201536.02525252526,182429.5,4605.819500990548,0.0525,1706533.8095238095,1848320.0,202146.4190779335
904309,19.999999999166857,2.514475953485813,6.322589320658389,2.0,0.5,11846.728298888347,19.020000000000003,303.0210426690922,10774.081516674461,83.93374401339456,3000000,ramp,0.035,0.055,0.0125,0.9875,301301.33670886076,268531.0,7395.751739400903,0.0525,1706533.8095238095,1848320.0,202146.4190779335
1480607,19.999999999166857,2.514475953485813,6.322589320658389,2.0,0.5,11846.728298888347,19.020000000000003,303.0210426690922,10774.081516674461,137.42303673018856,3000000,ramp,0.035,0.055,0.0125,0.9875,453221.9873417721,402664.0,10675.12723624577,0.0525,1706533.8095238095,1848320.0,202146.4190779335
2424168,19.999999999166857,2.514475953485813,6.322589320658389,2.0,0.5,11846.728298888347,19.020000000000003,303.0210426690922,10774.081516674461,224.9999683266037,3000000,ramp,0.035,0.055,0.015,0.985,688587.9441624365,624815.5,15631.561167584794,0.0525,1706533.8095238095,1848320.0,202146.4190779335
