w,Gamma,s_max,v_max,dmu_std_target,delta_P,lambda_star_Data,lambda_star_Concept,lambda_iid_H,w_star,w_over_wstar,mon_len,regime,FPR_Data_val,FPR_Concept_val,censored_Data,DetRate_Data,ADD_Data,MED_Data,SEM_Data,DetRate_Concept,ADD_Concept,MED_Concept,SEM_Concept
1635,3.999999999941683,2.3209658439803,5.386882448923187,2.0,0.5,553.8639216913889,15.810000000000036,129.48222329109777,920.7624767232713,1.775702248226377,200000,ramp,0.04,0.0525,0.0,1.0,1390.9675,1296.0,74.72701231504716,0.0525,90735.47619047618,81599.0,12792.794581627182
2717,3.999999999941683,2.3209658439803,5.386882448923187,2.0,0.5,553.8639216913889,15.810000000000036,129.48222329109777,920.7624767232713,2.950815295676493,200000,ramp,0.04,0.0525,0.0,1.0,1908.1825,1810.5,74.35134610181753,0.0525,90735.47619047618,81599.0,12792.794581627182
4515,3.999999999941683,2.3209658439803,5.386882448923187,2.0,0.5,553.8639216913889,15.810000000000036,129.48222329109777,920.7624767232713,4.903544740515041,200000,ramp,0.04,0.0525,0.0,1.0,2650.3375,2517.0,74.8183907905375,0.0525,90735.47619047618,81599.0,12792.794581627182
7503,3.999999999941683,2.3209658439803,5.386882448923187,2.0,0.5,553.8639216913889,15.810000000000036,129.48222329109777,920.7624767232713,8.14868132626453,200000,ramp,0.04,0.0525,0.0,1.0,3783.3275,3707.5,78.56288200659603,0.0525,90735.47619047618,81599.0,12792.794581627182
12468,3.999999999941683,2.3209658439803,5.386882448923187,2.0,0.5,553.8639216913889,15.810000000000036,129.48222329109777,920.7624767232713,13.540951456199675,200000,ramp,0.04,0.0525,0.0,1.0,5479.05,5337.5,86.1789184412828,0.0525,90735.47619047618,81599.0,12792.794581627182
20717,3.999999999941683,2.3209658439803,5.386882448923187,2.0,0.5,553.8639216913889,15.810000000000036,129.48222329109777,920.7624767232713,22.499830872480644,200000,ramp,0.04,0.0525,0.0,1.0,8159.42,7863.0,102.35830830811561,0.0525,90735.47619047618,81599.0,12792.794581627182
155,7.999999999758865,2.390990461570558,5.71683538732139,2.0,0.5,1103.76048305418,15.810000000000036,129.48222329109777,1841.5249534178834,0.08416937262366112,200000,saturated,0.0625,0.0525,0.0025,0.9975,962.9172932330827,775.0,50.91228430973535,0.0525,90735.47619047618,81599.0,12792.794581627182
258,7.999999999758865,2.390990461570558,5.71683538732139,2.0,0.5,1103.76048305418,15.810000000000036,129.48222329109777,1841.5249534178834,0.1401012783026101,200000,saturated,0.0625,0.0525,0.0025,0.9975,1022.1453634085213,837.0,52.82794693375197,0.0525,90735.47619047618,81599.0,12792.794581627182
429,7.999999999758865,2.390990461570558,5.71683538732139,2.0,0.5,1103.76048305418,15.810000000000036,129.48222329109777,1841.5249534178834,0.23295910229387495,200000,saturated,0.0625,0.0525,0.0025,0.9975,1114.3032581453633,924.0,52.53101442616912,0.0525,90735.47619047618,81599.0,12792.794581627182
713,7.999999999758865,2.390990461570558,5.71683538732139,2.0,0.5,1103.76048305418,15.810000000000036,129.48222329109777,1841.5249534178834,0.38717911406884115,200000,saturated,0.0625,0.0525,0.0025,0.9975,1282.31328320802,1112.0,51.934407470470084,0.0525,90735.47619047618,81599.0,12792.794581627182
1185,7.999999999758865,2.390990461570558,5.71683538732139,2.0,0.5,1103.76048305418,15.810000000000036,129.48222329109777,1841.5249534178834,0.6434884294131511,200000,saturated,0.0625,0.0525,0.0025,0.9975,1556.8646616541353,1395.0,51.57249533284477,0.0525,90735.47619047618,81599.0,12792.794581627182
1968,7.999999999758865,2.390990461570558,5.71683538732139,2.0,0.5,1103.76048305418,15.810000000000036,129.48222329109777,1841.5249534178834,1.0686795182152586,200000,ramp,0.0625,0.0525,0.0025,0.9975,2013.4887218045112,1878.0,56.54846833502381,0.0525,90735.47619047618,81599.0,12792.794581627182
3271,7.999999999758865,2.390990461570558,5.71683538732139,2.0,0.5,1103.76048305418,15.810000000000036,129.48222329109777,1841.5249534178834,1.7762452764644872,200000,ramp,0.0625,0.0525,0.0025,0.9975,2694.4912280701756,2525.0,60.77902264828958,0.0525,90735.47619047618,81599.0,12792.794581627182
5435,7.999999999758865,2.390990461570558,5.71683538732139,2.0,0.5,1103.76048305418,15.810000000000036,129.48222329109777,1841.5249534178834,2.9513583239328915,200000,ramp,0.0625,0.0525,0.0025,0.9975,3707.751879699248,3525.0,69.76469619426585,0.0525,90735.47619047618,81599.0,12792.794581627182
9031,7.999999999758865,2.390990461570558,5.71683538732139,2.0,0.5,1103.76048305418,15.810000000000036,129.48222329109777,1841.5249534178834,4.904087768801829,200000,ramp,0.0625,0.0525,0.0025,0.9975,5219.107769423559,5014.0,86.69512834532327,0.0525,90735.47619047618,81599.0,12792.794581627182
15006,7.999999999758865,2.390990461570558,5.71683538732139,2.0,0.5,1103.76048305418,15.810000000000036,129.48222329109777,1841.5249534178834,8.148681326391346,200000,ramp,0.0625,0.0525,0.0025,0.9975,7446.68671679198,7069.0,108.06623916819059,0.0525,90735.47619047618,81599.0,12792.794581627182
24935,7.999999999758865,2.390990461570558,5.71683538732139,2.0,0.5,1103.76048305418,15.810000000000036,129.48222329109777,1841.5249534178834,13.540408428199935,200000,ramp,0.0625,0.0525,0.0025,0.9975,10859.45112781955,10338.0,164.72084019485823,0.0525,90735.47619047618,81599.0,12792.794581627182
41434,7.999999999758865,2.390990461570558,5.71683538732139,2.0,0.5,1103.76048305418,15.810000000000036,129.48222329109777,1841.5249534178834,22.499830872830803,200000,ramp,0.0625,0.0525,0.0025,0.9975,16036.423558897242,15235.0,253.9620317373794,0.0525,90735.47619047618,81599.0,12792.794581627182
225,11.579999998279618,2.436528846008845,5.936672817433192,2.0,0.5,1771.4235068620317,15.810000000000036,129.48222329109777,2665.607369756717,0.0844085301356798,200000,saturated,0.0525,0.0525,0.0075,0.9925,1506.2040302267003,1217.0,78.75047125481507,0.0525,90735.47619047618,81599.0,12792.794581627182
374,11.579999998279618,2.436528846008845,5.936672817433192,2.0,0.5,1771.4235068620317,15.810000000000036,129.48222329109777,2665.607369756717,0.14030573453664108,200000,saturated,0.0525,0.0525,0.0075,0.9925,1586.4458438287154,1286.0,78.34504344023172,0.0525,90735.47619047618,81599.0,12792.794581627182
621,11.579999998279618,2.436528846008845,5.936672817433192,2.0,0.5,1771.4235068620317,15.810000000000036,129.48222329109777,2665.607369756717,0.2329675431744762,200000,saturated,0.0525,0.0525,0.0075,0.9925,1720.566750629723,1436.0,77.70540750620312,0.0525,90735.47619047618,81599.0,12792.794581627182
1032,11.579999998279618,2.436528846008845,5.936672817433192,2.0,0.5,1771.4235068620317,15.810000000000036,129.48222329109777,2665.607369756717,0.3871537915556513,200000,saturated,0.0525,0.0525,0.0075,0.9925,1956.191435768262,1689.0,76.99221714049514,0.0525,90735.47619047618,81599.0,12792.794581627182
