ticker,phase_id,phase_type,start_date,end_date,T_days,ann_return,ann_vol,vol_pct,sharpe,q_ref,q_phase,delta_q,alpha,ADD_min_days,detectable_flag,pathology_class,episode_label,source_scale,dating_algorithm
SPY,10,bear,2007-10-09,2008-10-27,265,-0.56353418111735243,0.30180672253844948,0.80000000000000004,-1.8672022159664103,0.54115996258185217,0.48301886792452831,-0.058141094657323866,0.050000000000000003,433.06274700950337,False,neither,GFC_2008,MACRO,lunde_timmermann
SPY,11,bull,2008-10-27,2008-11-04,6,7.1728188320430686,0.62969589184756602,0.96666666666666667,11.39092524646712,0.54115996258185217,0.66666666666666663,0.12550670408481446,0.050000000000000003,11.636316655098002,False,both,,MACRO,lunde_timmermann
SPY,12,bear,2008-11-04,2008-11-20,12,-5.9599411316161754,0.61779892559242422,0.93333333333333335,-9.6470564850869973,0.54115996258185217,0.25,-0.29115996258185217,0.050000000000000003,16.223475296592873,False,both,GFC_2008,MACRO,lunde_timmermann
SPY,13,bull,2008-11-20,2009-01-06,30,1.8478534279915624,0.48361824376347251,0.90000000000000002,3.8208927223500453,0.54115996258185217,0.59999999999999998,0.058840037418147806,0.050000000000000003,103.41983627970079,False,both,,MACRO,lunde_timmermann
SPY,14,bear,2009-01-06,2009-03-09,42,-1.9085572668758717,0.37253309625688191,0.83333333333333337,-5.1231884792319695,0.54115996258185217,0.40476190476190477,-0.1363980578199474,0.050000000000000003,57.52450197190435,False,both,,MACRO,lunde_timmermann
SPY,15,bull,2009-03-09,2010-04-23,284,0.54059663266752578,0.20974291262564373,0.43333333333333335,2.5774250290516418,0.54115996258185217,0.61971830985915488,0.078558347277302709,0.050000000000000003,227.28012075441202,True,location,,MACRO,lunde_timmermann
SPY,16,bear,2010-04-23,2010-07-02,49,-0.88189302289825278,0.26975590835279972,0.69999999999999996,-3.2692259764886069,0.54115996258185217,0.38775510204081631,-0.15340486054103586,0.050000000000000003,141.26795309838241,False,location,,MACRO,lunde_timmermann
SPY,17,bull,2010-07-02,2011-04-29,208,0.37138248781441202,0.14080774644119259,0.16666666666666666,2.6375146055584193,0.54115996258185217,0.61057692307692313,0.069416960495070956,0.050000000000000003,217.04200268224125,False,location,,MACRO,lunde_timmermann
SPY,18,bear,2011-04-29,2011-10-03,108,-0.48653074423860759,0.26921703543310271,0.66666666666666663,-1.8072063807399914,0.54115996258185217,0.48148148148148145,-0.059678481100370717,0.050000000000000003,462.29376067767311,False,neither,,MACRO,lunde_timmermann
SPY,19,bull,2011-10-03,2018-09-20,1753,0.16104368342644867,0.12845094218819203,0.066666666666666666,1.2537368794890222,0.54115996258185217,0.553907586993725,0.012747624411872827,0.050000000000000003,960.55167223337094,True,neither,,MACRO,lunde_timmermann
SPY,20,bear,2018-09-20,2018-12-24,65,-0.85135884031772968,0.20525063127315721,0.36666666666666664,-4.1478987666776099,0.54115996258185217,0.40000000000000002,-0.14115996258185215,0.050000000000000003,87.756084499161403,False,location,,MACRO,lunde_timmermann
SPY,21,bull,2018-12-24,2020-02-19,289,0.34132276508171727,0.13118675093343565,0.10000000000000001,2.60180820588281,0.54115996258185217,0.58823529411764708,0.047075331535794906,0.050000000000000003,223.04011300388913,True,location,Calm_2015_or_2019,MACRO,lunde_timmermann
SPY,22,bear,2020-02-19,2020-03-23,23,-4.5932578638960582,0.76677238503023482,1,-5.9903798748763499,0.54115996258185217,0.2608695652173913,-0.28029039736446087,0.050000000000000003,42.075066132431338,False,both,COVID_2020,MACRO,lunde_timmermann
