episode_id,ticker,phase_id,role,sigma_oracle,oracle_contaminated,oracle_certified,detector,delta,operating_point,lambda_star,FPR_H,ARL0,tau_realized_days,alarm_date,T_days_phase,alarm_within_T,ADD_min_census,detectable_flag_census,op_attainable,breakeven_exists
E1,SPY,22,TARGET,V2,False,True,D1,0.15,OP3_breakeven,6.062399045025292,0.117,,23.0,2020-03-23,23,True,42.07506613243134,False,True,True
E1,SPY,22,TARGET,V2,False,True,D1,0.2,OP1_isoFPR5_H,7.287180796209435,0.04375,,,,23,False,42.07506613243134,False,True,True
E1,SPY,22,TARGET,V2,False,True,D1,0.2,OP2_ARL0_20,,,,,,23,False,42.07506613243134,False,False,True
E1,SPY,22,TARGET,V2,False,True,D1,0.2,OP2b_ARL0_252,,,,,,23,False,42.07506613243134,False,False,True
E1,SPY,22,TARGET,V2,False,True,D1,0.2,OP3_breakeven,5.043470610780117,0.159,,23.0,2020-03-23,23,True,42.07506613243134,False,True,True
E1,SPY,22,TARGET,V2,False,True,D1,0.25,OP1_isoFPR5_H,6.85363864776697,0.04155,,,,23,False,42.07506613243134,False,True,True
E1,SPY,22,TARGET,V2,False,True,D1,0.25,OP2_ARL0_20,,,,,,23,False,42.07506613243134,False,False,True
E1,SPY,22,TARGET,V2,False,True,D1,0.25,OP2b_ARL0_252,,,,,,23,False,42.07506613243134,False,False,True
E1,SPY,22,TARGET,V2,False,True,D1,0.25,OP3_breakeven,3.9461730629943523,0.23555,,23.0,2020-03-23,23,True,42.07506613243134,False,True,True
E1,SPY,22,TARGET,V2,False,True,D1,0.3,OP1_isoFPR5_H,6.445889573454612,0.04105,,,,23,False,42.07506613243134,False,True,True
E1,SPY,22,TARGET,V2,False,True,D1,0.3,OP2_ARL0_20,,,,,,23,False,42.07506613243134,False,False,True
E1,SPY,22,TARGET,V2,False,True,D1,0.3,OP2b_ARL0_252,,,,,,23,False,42.07506613243134,False,False,True
E1,SPY,22,TARGET,V2,False,True,D1,0.3,OP3_breakeven,3.0876122901990186,0.3349,,16.0,2020-03-12,23,True,42.07506613243134,False,True,True
E1,SPY,22,TARGET,V2,False,True,D1,0.4,OP1_isoFPR5_H,5.701723829163629,0.03985,,,,23,False,42.07506613243134,False,True,True
E1,SPY,22,TARGET,V2,False,True,D1,0.4,OP2_ARL0_20,,,,,,23,False,42.07506613243134,False,False,True
E1,SPY,22,TARGET,V2,False,True,D1,0.4,OP2b_ARL0_252,,,,,,23,False,42.07506613243134,False,False,True
E1,SPY,22,TARGET,V2,False,True,D1,0.4,OP3_breakeven,2.009807067806246,0.51555,,6.0,2020-02-27,23,True,42.07506613243134,False,True,True
E1,SPY,22,TARGET,V2,False,True,D1,0.5,OP1_isoFPR5_H,5.043470610780117,0.04965,,,,23,False,42.07506613243134,False,True,True
E1,SPY,22,TARGET,V2,False,True,D1,0.5,OP2_ARL0_20,,,,,,23,False,42.07506613243134,False,False,True
