source,ticker,c,arm,n_onsets,lambda_star,FPR_achieved,FPR_count,iso_fpr_matched,qmle_n_non_converged,qmle_n_frozen,qmle_fallback_frac,DetRate,CI_low,CI_high,ADD,SEM,add_reliable,n_detected,deff,deff_clamped,deff_lags,n_eff,SEM_design,CI_low_design,CI_high_design
Real_BTC,BTC,0.5,Eco,106,34.180670410156253,0.04716981132075472,5,True,0,0,0,1,0.96502724142652774,1,88.311320754716988,3.1944338830709995,True,106,1,True,24,106,3.1944338830709995,0.96502724142652774,1
Real_BTC,BTC,0.59999999999999998,Concept,106,11.231463134765626,0.04716981132075472,5,True,0,0,0,1,0.96502724142652774,1,60.066037735849058,2.8133229816972261,True,106,1,True,24,106,2.8133229816972261,0.96502724142652774,1
Real_BTC,BTC,0.59999999999999998,Eco,106,34.180670410156253,0.04716981132075472,5,True,0,0,0,1,0.96502724142652774,1,71.688679245283012,2.3019781611756391,True,106,1,True,24,106,2.3019781611756391,0.96502724142652774,1
Real_BTC,BTC,0.75,Concept,106,11.231463134765626,0.04716981132075472,5,True,0,0,0,1,0.96502724142652774,1,48.60377358490566,2.11420458475907,True,106,1.215996266405289,False,24,87.171320281562785,2.3313803463247909,0.95779209404892385,0.99999999999999989
Real_BTC,BTC,0.75,Eco,106,34.180670410156253,0.04716981132075472,5,True,0,0,0,1,0.96502724142652774,1,57.113207547169814,1.6096629244288074,True,106,1,True,24,106,1.6096629244288074,0.96502724142652774,1
Real_BTC,BTC,1,Concept,106,11.231463134765626,0.04716981132075472,5,True,0,0,0,1,0.96502724142652774,1,40.028301886792455,1.4470884793736551,True,106,1.0887605669272888,False,24,97.35841214304287,1.509945518777938,0.96204087234389213,0.99999999999999989
Real_BTC,BTC,1,Eco,106,34.180670410156253,0.04716981132075472,5,True,0,0,0,1,0.96502724142652774,1,44.650943396226417,1.0996975580880848,True,106,2.6270704383800347,False,24,40.349127473477331,1.7824161946883865,0.91307065276025101,1
Real_BTC,BTC,1.25,Concept,106,11.231463134765626,0.04716981132075472,5,True,0,0,0,1,0.96502724142652774,1,35.858490566037737,0.95226385927421897,True,106,1.0935556746319075,False,24,96.931507429358604,0.99581290792429289,0.96188006601728748,1
Real_BTC,BTC,1.25,Eco,106,34.180670410156253,0.04716981132075472,5,True,0,0,0,1,0.96502724142652774,1,37.764150943396224,0.83131911531202651,True,106,4.2500047968489953,False,24,24.941148320253586,1.7138092276752699,0.86653541140722246,0.99999999999999989
Real_BTC,BTC,1.5,Concept,106,11.231463134765626,0.04716981132075472,5,True,0,0,0,1,0.96502724142652774,1,33.264150943396224,0.71776296582810406,True,106,1.4794098170769592,False,24,71.650193730251459,0.87302221424312287,0.94911412466296574,1
Real_BTC,BTC,1.5,Eco,106,34.180670410156253,0.04716981132075472,5,True,0,0,0,1,0.96502724142652774,1,33.018867924528301,0.63663256302623472,True,106,6.5510785933820133,False,24,16.180541645017449,1.6294658136942561,0.80813811151024761,1
Real_ETH,ETH,0.10000000000000001,Concept,72,7.8000050944658499,0.041666666666666664,3,True,0,0,0,0.43055555555555558,0.32257905786705865,0.54556693832689385,226.70967741935485,25.7979499523668,False,31,3.5445990531509786,False,24,8.7457000171690744,48.570072804518936,0.17738710553641363,0.7261113269862387
Real_ETH,ETH,0.10000000000000001,Eco,72,39.816969445888517,0.041666666666666664,3,True,0,0,0,0.4861111111111111,0.37432674529071863,0.59930245394807191,324.82857142857142,16.665275432701776,False,35,1.3717406567146062,False,24,25.515027077951391,19.518592680439486,0.30711940687767653,0.66873769146126283
Real_ETH,ETH,0.14999999999999999,Concept,72,7.8000050944658499,0.041666666666666664,3,True,0,0,0,0.59722222222222221,0.48180671684951565,0.70278888847895093,122.90697674418605,12.261254427846682,False,43,1,True,24,43,12.261254427846682,0.44856908206331325,0.72992901175389391
Real_ETH,ETH,0.14999999999999999,Eco,72,39.816969445888517,0.041666666666666664,3,True,0,0,0,0.56944444444444442,0.45443306167310615,0.67742094213294124,260.78048780487802,11.530344942176294,False,41,1,True,24,41,11.530344942176294,0.41844652178588071,0.70854409346628155
Real_ETH,ETH,0.20000000000000001,Concept,72,7.8000050944658499,0.041666666666666664,3,True,0,0,0,0.875,0.77918946275839163,0.93282215779426492,162.4126984126984,17.016252585801965,False,63,1,True,24,63,17.016252585801965,0.77128755392293613,0.93560904638542508
Real_ETH,ETH,0.20000000000000001,Eco,72,39.816969445888517,0.041666666666666664,3,True,0,0,0,0.72222222222222221,0.6095356707476457,0.81239714143170627,213.48076923076923,9.4080921036117076,False,52,1.8635021551085205,False,24,27.904448544612386,12.843000814407484,0.53722096346985393,0.85344284677273263
Real_ETH,ETH,0.25,Concept,72,7.8000050944658499,0.041666666666666664,3,True,0,0,0,0.97222222222222221,0.9042582477856177,0.99234897809550537,148.98571428571429,15.924624659750569,True,70,1,True,24,70,15.924624659750569,0.90283999659787906,0.99247155557020217
Real_ETH,ETH,0.25,Eco,72,39.816969445888517,0.041666666666666664,3,True,0,0,0,0.88888888888888884,0.79577061766335955,0.94261180365050656,208.734375,12.632640830379261,False,64,1,True,24,64,12.632640830379261,0.78891073568072334,0.9448261067026501
Real_ETH,ETH,0.34999999999999998,Concept,72,7.8000050944658499,0.041666666666666664,3,True,0,0,0,1,0.94934882740354221,1,89.416666666666671,9.2709295667081957,True,72,1,True,24,72,9.2709295667081957,0.94934882740354221,1
Real_ETH,ETH,0.34999999999999998,Eco,72,39.816969445888517,0.041666666666666664,3,True,0,0,0,1,0.94934882740354221,1,155.77777777777777,8.5917843649260774,True,72,1,True,24,72,8.5917843649260774,0.94934882740354221,1
Real_ETH,ETH,0.5,Concept,72,7.8000050944658499,0.041666666666666664,3,True,0,0,0,1,0.94934882740354221,1,49.916666666666664,3.3386387177492449,True,72,1,True,24,72,3.3386387177492449,0.94934882740354221,1
Real_ETH,ETH,0.5,Eco,72,39.816969445888517,0.041666666666666664,3,True,0,0,0,1,0.94934882740354221,1,97.111111111111114,3.5940062606194423,True,72,1,True,24,72,3.5940062606194423,0.94934882740354221,1
Real_ETH,ETH,0.59999999999999998,Concept,72,7.8000050944658499,0.041666666666666664,3,True,0,0,0,1,0.94934882740354221,1,42.208333333333336,2.7660821490416576,True,72,1,True,24,72,2.7660821490416576,0.94934882740354221,1
Real_ETH,ETH,0.59999999999999998,Eco,72,39.816969445888517,0.041666666666666664,3,True,0,0,0,1,0.94934882740354221,1,80.305555555555557,2.7349221111480748,True,72,1,True,24,72,2.7349221111480748,0.94934882740354221,1
Real_ETH,ETH,0.75,Concept,72,7.8000050944658499,0.041666666666666664,3,True,0,0,0,1,0.94934882740354221,1,34.708333333333336,1.9933761356577633,True,72,1.1075712831464559,False,24,65.007102563600256,2.0978532170295625,0.94420422528145331,1
Real_ETH,ETH,0.75,Eco,72,39.816969445888517,0.041666666666666664,3,True,0,0,0,1,0.94934882740354221,1,65.444444444444443,1.7701538880504071,True,72,1,True,24,72,1.7701538880504071,0.94934882740354221,1
Real_ETH,ETH,1,Concept,72,7.8000050944658499,0.041666666666666664,3,True,0,0,0,1,0.94934882740354221,1,27.625,1.1399787299022863,True,72,1,True,24,72,1.1399787299022863,0.94934882740354221,1
Real_ETH,ETH,1,Eco,72,39.816969445888517,0.041666666666666664,3,True,0,0,0,1,0.94934882740354221,1,51.125,1.0999329209345248,True,72,1,True,24,72,1.0999329209345248,0.94934882740354221,1
Real_ETH,ETH,1.25,Concept,72,7.8000050944658499,0.041666666666666664,3,True,0,0,0,1,0.94934882740354221,1,24.069444444444443,0.61058259623446287,True,72,1,True,24,72,0.61058259623446287,0.94934882740354221,1
Real_ETH,ETH,1.25,Eco,72,39.816969445888517,0.041666666666666664,3,True,0,0,0,1,0.94934882740354221,1,42.916666666666664,0.7293319918397847,True,72,1,True,24,72,0.7293319918397847,0.94934882740354221,1
Real_ETH,ETH,1.5,Concept,72,7.8000050944658499,0.041666666666666664,3,True,0,0,0,1,0.94934882740354221,1,22.388888888888889,0.4845433272057757,True,72,1,True,24,72,0.4845433272057757,0.94934882740354221,1
Real_ETH,ETH,1.5,Eco,72,39.816969445888517,0.041666666666666664,3,True,0,0,0,1,0.94934882740354221,1,38.083333333333336,0.60116591966192079,True,72,1.0108547743544591,False,24,71.226848630140609,0.60441987346547688,0.9488271555448341,0.99999999999999989
Synth_BTC,BTC,0.10000000000000001,Concept,106,8.7900581054687503,0.04716981132075472,5,True,0,0,0,0.37735849056603776,0.29089759989547109,0.47239760503764477,251.02500000000001,20.058803787240151,False,40,1,True,24,40,20.058803787240151,0.24421928115809338,0.53198979083369391
Synth_BTC,BTC,0.10000000000000001,Eco,106,27.344736328124998,0.04716981132075472,5,True,0,0,0,0.37735849056603776,0.29089759989547109,0.47239760503764477,263.80000000000001,17.677747311238498,False,40,3.9680979607379441,False,24,10.080396299631985,35.214223333761026,0.15433820560552114,0.66805974248482869
Synth_BTC,BTC,0.14999999999999999,Concept,106,8.7900581054687503,0.04716981132075472,5,True,0,0,0,0.63207547169811318,0.53715436364759106,0.71775849257828406,238.11940298507463,14.49084673398937,False,67,1.3861198525956997,False,24,48.336368514261807,17.060594273127077,0.49114239659444647,0.75356111053752006
Synth_BTC,BTC,0.14999999999999999,Eco,106,27.344736328124998,0.04716981132075472,5,True,0,0,0,0.839622641509434,0.75810040339080709,0.89738979833287214,264.75280898876406,12.805709031117402,False,89,1,True,24,89,12.805709031117402,0.74961570775757147,0.90152475208195526
Synth_BTC,BTC,0.20000000000000001,Concept,106,8.7900581054687503,0.04716981132075472,5,True,0,0,0,0.76415094339622647,0.67498612442286576,0.83483958802888492,222.34567901234567,13.398789496582584,False,81,3.9789411023698125,False,24,20.357174915647107,26.726944969218664,0.54795236160282768,0.89648322244211065
Synth_BTC,BTC,0.20000000000000001,Eco,106,27.344736328124998,0.04716981132075472,5,True,0,0,0,0.95283018867924529,0.89430100859387629,0.97968592703769608,215.1881188118812,10.366688532437594,True,101,1,True,24,101,10.366688532437594,0.89239642069527936,0.98007997501805832
Synth_BTC,BTC,0.25,Concept,106,8.7900581054687503,0.04716981132075472,5,True,0,0,0,0.83018867924528306,0.74748176193680727,0.88980037862788097,180.26136363636363,11.044267780406066,False,88,2.7921666987624874,False,24,31.516742907578681,18.454725917006286,0.66546293290652625,0.92316834391801983
Synth_BTC,BTC,0.25,Eco,106,27.344736328124998,0.04716981132075472,5,True,0,0,0,1,0.96502724142652774,1,165.11320754716982,7.7294534164156241,True,106,2.8801157996477311,False,24,36.804075729512313,13.117581130753877,0.90548878583577108,0.99999999999999989
Synth_BTC,BTC,0.34999999999999998,Concept,106,8.7900581054687503,0.04716981132075472,5,True,0,0,0,1,0.96502724142652774,1,126,6.7789961042065272,True,106,1.7968444858966701,False,24,58.992306141120146,9.0870021317981919,0.93886314431375117,1
Synth_BTC,BTC,0.34999999999999998,Eco,106,27.344736328124998,0.04716981132075472,5,True,0,0,0,1,0.96502724142652774,1,110.27358490566037,4.2489404165485585,True,106,1.4772639255322499,False,24,71.754273673073541,5.1642788844135854,0.94918418415998773,1
