record_type,H,lambda_units,lambda_value,q,exact_level,twin_level,enumerated_level,abs_difference,bit_identical,n_streams,operator,realised_level,disagreements
enumeration_validation,12,7,1.4000000000000001,0.58186099999999996,0.64070275068498161,0.64070275068498161,0.64070275068497651,5.1070259132757201e-15,False,4096,>,NaN,NaN
enumeration_validation,14,4,0.80000000000000004,0.5,0.9637451171875,0.9637451171875,0.9637451171875,0,True,16384,>,NaN,NaN
enumeration_validation,14,4,0.80000000000000004,0.56369400000000003,0.96713940879826887,0.96713940879826887,0.96713940879815508,1.1379786002407855e-13,False,16384,>,NaN,NaN
enumeration_validation,14,4,0.80000000000000004,0.58186099999999996,0.96920480517513097,0.96920480517513097,0.96920480517510577,2.5202062658991053e-14,False,16384,>,NaN,NaN
enumeration_validation,14,5,1,0.5,0.9332275390625,0.9332275390625,0.9332275390625,0,True,16384,>,NaN,NaN
enumeration_validation,14,5,1,0.56369400000000003,0.93911088779276508,0.93911088779276508,0.93911088779265806,1.0702549957386509e-13,False,16384,>,NaN,NaN
enumeration_validation,14,5,1,0.58186099999999996,0.94270851795452637,0.94270851795452637,0.94270851795450639,1.9984014443252818e-14,False,16384,>,NaN,NaN
enumeration_validation,14,6,1.2000000000000002,0.5,0.7567138671875,0.7567138671875,0.7567138671875,0,True,16384,>,NaN,NaN
enumeration_validation,14,6,1.2000000000000002,0.56369400000000003,0.77665217508141049,0.77665217508141049,0.77665217508134565,6.4837024638109142e-14,False,16384,>,NaN,NaN
enumeration_validation,14,6,1.2000000000000002,0.58186099999999996,0.78891542496607936,0.78891542496607936,0.78891542496606926,1.0103029524088925e-14,False,16384,>,NaN,NaN
enumeration_validation,14,7,1.4000000000000001,0.5,0.6759033203125,0.6759033203125,0.6759033203125,0,True,16384,>,NaN,NaN
enumeration_validation,14,7,1.4000000000000001,0.56369400000000003,0.70075008883837664,0.70075008883837664,0.70075008883833578,4.0856207306205761e-14,False,16384,>,NaN,NaN
enumeration_validation,14,7,1.4000000000000001,0.58186099999999996,0.7161176470066416,0.7161176470066416,0.71611764700663461,6.9944050551384862e-15,False,16384,>,NaN,NaN
fair_coin_survival,8000,74,14.800000000000001,0.5,0.0043344253665914597,NaN,NaN,NaN,True,NaN,>,NaN,NaN
fair_coin_survival,8000,75,15,0.5,0.0036773861881254804,NaN,NaN,NaN,True,NaN,>,NaN,NaN
fair_coin_survival,8000,76,15.200000000000001,0.5,0.0031197954712260728,NaN,NaN,NaN,True,NaN,>,NaN,NaN
half_arm_prediction_q_star_strict,8000,75,15,0.49967357998255779,0.0036796054690944576,0.0036796054690944576,NaN,0.0013203945309055425,False,1000,xi=1.0 strict,0.0050000000000000001,NaN
half_arm_prediction_q_star_weak,8000,74,14.800000000000001,0.49967357998255779,0.0043369596586342622,0.0043369596586342622,NaN,0.00066304034136573792,False,1000,xi=1.0 weak,0.0050000000000000001,NaN
half_arm_prediction_q_measured_strict,8000,75,15,0.49948512499999997,0.0036829084965662364,0.0036829084965662364,NaN,0.0013170915034337637,False,1000,xi=1.0 strict,0.0050000000000000001,NaN
half_arm_prediction_q_measured_weak,8000,74,14.800000000000001,0.49948512499999997,0.0043407314966338022,0.0043407314966338022,NaN,0.00065926850336619786,False,1000,xi=1.0 weak,0.0050000000000000001,NaN
half_arm_prediction_q_star_strict,8000,75,15,0.52960362394138338,0.038869350185319632,0.038869350185319632,NaN,0.0021306498146803701,False,1000,xi=0.85 strict,0.041000000000000002,NaN
half_arm_prediction_q_star_weak,8000,74,14.800000000000001,0.52960362394138338,0.043572148398182561,0.043572148398182561,NaN,0.0025721483981825596,False,1000,xi=0.85 weak,0.041000000000000002,NaN
half_arm_prediction_q_measured_strict,8000,75,15,0.52947,0.03837081128193038,0.03837081128193038,NaN,0.0026291887180696222,False,1000,xi=0.85 strict,0.041000000000000002,NaN
half_arm_prediction_q_measured_weak,8000,74,14.800000000000001,0.52947,0.043023898258683357,0.043023898258683357,NaN,0.0020238982586833557,False,1000,xi=0.85 weak,0.041000000000000002,NaN
half_arm_prediction_q_star_strict,8000,75,15,0.56428100868234865,0.59722339342553654,0.59722339342553654,NaN,0.0012233934255365675,False,1000,xi=0.65 strict,0.59599999999999997,NaN
half_arm_prediction_q_star_weak,8000,74,14.800000000000001,0.56428100868234865,0.62053249119904441,0.62053249119904441,NaN,0.024532491199044437,False,1000,xi=0.65 weak,0.59599999999999997,NaN
half_arm_prediction_q_measured_strict,8000,75,15,0.56407937500000005,0.59132668324143611,0.59132668324143611,NaN,0.0046733167585638613,False,1000,xi=0.65 strict,0.59599999999999997,NaN
half_arm_prediction_q_measured_weak,8000,74,14.800000000000001,0.56407937500000005,0.61471143564104502,0.61471143564104502,NaN,0.018711435641045049,False,1000,xi=0.65 weak,0.59599999999999997,NaN
half_arm_prediction_q_star_strict,8000,75,15,0.58234793266181373,0.96648650874151398,0.96648650874151398,NaN,0.00048650874151401347,False,1000,xi=0.5 strict,0.96599999999999997,NaN
half_arm_prediction_q_star_weak,8000,74,14.800000000000001,0.58234793266181373,0.97099303861702912,0.97099303861702912,NaN,0.0049930386170291552,False,1000,xi=0.5 weak,0.96599999999999997,NaN
half_arm_prediction_q_measured_strict,8000,75,15,0.58219112499999992,0.96529648209117647,0.96529648209117647,NaN,0.00070351790882350329,False,1000,xi=0.5 strict,0.96599999999999997,NaN
half_arm_prediction_q_measured_weak,8000,74,14.800000000000001,0.58219112499999992,0.9699355171825198,0.9699355171825198,NaN,0.0039355171825198321,False,1000,xi=0.5 weak,0.96599999999999997,NaN
boundary_artefact,8000,75,15,NaN,NaN,NaN,NaN,NaN,False,4000,float M > lambda,0.40200000000000002,38
boundary_artefact,8000,75,15,NaN,NaN,NaN,NaN,NaN,False,4000,exact M_units > lambda,0.39250000000000002,0
boundary_artefact,8000,75,15,NaN,NaN,NaN,NaN,NaN,False,4000,exact M_units >= lambda,0.40200000000000002,38
