xi,stream_index,skewness,q,q_hat_warmup,lb_sign_p,lb_ebin_p,fpr_half,fpr_oracle,fpr_qhat,m_units_half,sign_identity,min_h,degenerate_sign,degenerate_ebin,fs_m,fs_s,fs_q_oracle
0.84999999999999998,19,-0.47859925138216547,0.53787499999999999,0.53700000000000003,0.97654900448243598,0.51703702588809153,0,0,0,67,True,0.0085066649768188764,False,False,-0.29333850291300162,1.2098295592007686,0.52929400000000004
0.65000000000000002,19,-1.0825848244723295,0.57112499999999999,0.57999999999999996,0.28932384465351502,0.16516286141091885,0,0,0,69,True,0.0086743126330579116,False,False,-0.79834597969550514,1.3665569892860103,0.56369400000000003
0.5,19,-1.3902140685118449,0.58999999999999997,0.60499999999999998,0.0364919580585851,0.04712790217456915,1,0,0,109,True,0.0086937011194668633,False,False,-1.3475760776189629,1.6531130939443468,0.58186099999999996
1,20,-0.045668810517602257,0.49425000000000002,0.49199999999999999,0.4326462278395416,0.43484799764839233,0,0,0,34,True,0.0083480965861688419,False,False,0.00084786314457791824,1.1837821058171558,0.499774
0.84999999999999998,20,-0.55376259966480013,0.53062500000000001,0.52000000000000002,0.41308327731884381,0.36529663255957329,0,0,0,42,True,0.0083469759041755014,False,False,-0.29333850291300162,1.2098295592007686,0.52929400000000004
0.65000000000000002,20,-1.1673714301446849,0.56437499999999996,0.56399999999999995,0.64327242235353832,0.66281449237693901,0,0,0,69,True,0.0082707544125822704,False,False,-0.79834597969550514,1.3665569892860103,0.56369400000000003
0.5,20,-1.5636654081464829,0.57925000000000004,0.58399999999999996,0.73313064714003673,0.61613532890466127,1,0,0,96,True,0.0084147547614304864,False,False,-1.3475760776189629,1.6531130939443468,0.58186099999999996
1,21,0.002653894051964686,0.50337500000000002,0.46300000000000002,0.95514412950439564,0.0054514882794045637,0,0,1,50,True,0.0082903497756820401,False,False,0.00084786314457791824,1.1837821058171558,0.499774
0.84999999999999998,21,-0.36518694050382638,0.53300000000000003,0.496,0.72445266954566967,0.49854764395597306,0,0,0,48,True,0.0084558780986332786,False,False,-0.29333850291300162,1.2098295592007686,0.52929400000000004
0.65000000000000002,21,-0.91614603027655206,0.56399999999999995,0.55400000000000005,0.76118923943182437,0.5391249664120995,0,0,0,73,True,0.0085567796980899162,False,False,-0.79834597969550514,1.3665569892860103,0.56369400000000003
0.5,21,-1.1741973577082538,0.58262499999999995,0.58299999999999996,0.8189030295064913,0.84146613632871725,1,0,0,162,True,0.0085007652705037344,False,False,-1.3475760776189629,1.6531130939443468,0.58186099999999996
1,22,-0.088611330373325373,0.50249999999999995,0.5,0.47733608425814678,0.92442221680490377,0,0,0,33,True,0.0088145578345248526,False,False,0.00084786314457791824,1.1837821058171558,0.499774
0.84999999999999998,22,-0.54779397722207968,0.53349999999999997,0.52300000000000002,0.65641838593682911,0.66623203483666993,1,0,0,76,True,0.0089947969858347847,False,False,-0.29333850291300162,1.2098295592007686,0.52929400000000004
0.65000000000000002,22,-1.1099998768405743,0.56687500000000002,0.54800000000000004,0.35170575715053087,0.50773615584019949,1,0,0,163,True,0.0087379488581917335,False,False,-0.79834597969550514,1.3665569892860103,0.56369400000000003
0.5,22,-1.4290917608853735,0.58387500000000003,0.56000000000000005,0.80471511756362812,0.60358624824697094,1,0,0,231,True,0.0081728172389764746,False,False,-1.3475760776189629,1.6531130939443468,0.58186099999999996
1,23,0.16781316126227844,0.50237500000000002,0.51100000000000001,0.16327444206429198,0.70164775867182783,0,0,0,37,True,0.0092764187744048821,False,False,0.00084786314457791824,1.1837821058171558,0.499774
0.84999999999999998,23,-0.36570180369300054,0.53025,0.54100000000000004,0.60199806482944074,0.85443619066551935,0,0,0,67,True,0.0093038694231956463,False,False,-0.29333850291300162,1.2098295592007686,0.52929400000000004
0.65000000000000002,23,-1.2965325937781851,0.56287500000000001,0.56100000000000005,0.66018017668505857,0.71986558841006498,1,0,0,75,True,0.0087338731464355439,False,False,-0.79834597969550514,1.3665569892860103,0.56369400000000003
0.5,23,-1.6335677303881562,0.58287500000000003,0.59399999999999997,0.82008522628801273,0.74610045372016176,1,0,0,124,True,0.0088852581960463892,False,False,-1.3475760776189629,1.6531130939443468,0.58186099999999996
1,24,0.035347339183513425,0.50087499999999996,0.52300000000000002,0.10955296380149525,0.86823262616946595,0,0,0,40,True,0.0088397338680590923,False,False,0.00084786314457791824,1.1837821058171558,0.499774
0.84999999999999998,24,-0.41059176764354344,0.52800000000000002,0.55200000000000005,0.36403698334767293,0.40069676820196598,0,0,0,50,True,0.0084363806487417672,False,False,-0.29333850291300162,1.2098295592007686,0.52929400000000004
0.65000000000000002,24,-0.93602874199647002,0.55625000000000002,0.56599999999999995,0.79233965332076395,0.58054329527283011,1,0,0,147,True,0.0084393275729972642,False,False,-0.79834597969550514,1.3665569892860103,0.56369400000000003
0.5,24,-1.2838681027231265,0.57674999999999998,0.57499999999999996,0.5771731045954136,0.14624426339379681,1,0,0,139,True,0.0083486911528851526,False,False,-1.3475760776189629,1.6531130939443468,0.58186099999999996
1,25,-0.040087821369904568,0.50349999999999995,0.51300000000000001,0.4270673458346777,0.45344275550061358,0,0,0,35,True,0.0088741188914767261,False,False,0.00084786314457791824,1.1837821058171558,0.499774
0.84999999999999998,25,-0.45706104910446566,0.52524999999999999,0.52800000000000002,0.75557745570677637,0.85299880549423002,0,0,0,47,True,0.0089109521048036898,False,False,-0.29333850291300162,1.2098295592007686,0.52929400000000004
0.65000000000000002,25,-1.0050903428284199,0.56699999999999995,0.56699999999999995,0.16632375355074822,0.50985120320725019,1,0,0,89,True,0.0086118311088265054,False,False,-0.79834597969550514,1.3665569892860103,0.56369400000000003
0.5,25,-1.286814253110212,0.58587500000000003,0.58499999999999996,0.37068815502060559,0.54715555533780624,1,0,0,173,True,0.0083080727501692909,False,False,-1.3475760776189629,1.6531130939443468,0.58186099999999996
1,26,0.082877152711230903,0.50149999999999995,0.52300000000000002,0.089624708648026269,0.32510638580006596,0,0,0,37,True,0.0078685658100858379,False,False,0.00084786314457791824,1.1837821058171558,0.499774
0.84999999999999998,26,-0.35324482621908004,0.53249999999999997,0.54500000000000004,0.044480113627023712,0.28670759282926461,0,0,0,62,True,0.0080452588840434994,False,False,-0.29333850291300162,1.2098295592007686,0.52929400000000004
0.65000000000000002,26,-0.94002900690720925,0.57750000000000001,0.57499999999999996,0.43522237599031027,0.28918127426528978,1,0,0,156,True,0.0082383879746027993,False,False,-0.79834597969550514,1.3665569892860103,0.56369400000000003
0.5,26,-1.3176981263989214,0.59612500000000002,0.58699999999999997,0.3549555143425821,0.43480068986588916,1,0,0,201,True,0.0080016763630735913,False,False,-1.3475760776189629,1.6531130939443468,0.58186099999999996
1,27,-0.024057579174561104,0.49562499999999998,0.53300000000000003,0.075851208591632913,0.50319576993143611,0,0,1,57,True,0.0089911062064246209,False,False,0.00084786314457791824,1.1837821058171558,0.499774
0.84999999999999998,27,-0.43532269812445662,0.52149999999999996,0.54000000000000004,0.025781948357866777,0.03693824326071439,0,0,0,57,True,0.0091767619695129615,False,False,-0.29333850291300162,1.2098295592007686,0.52929400000000004
0.65000000000000002,27,-1.0031774749084343,0.54637500000000006,0.55500000000000005,0.96077108019067992,0.86733090245922129,1,0,0,79,True,0.0089256715567736823,False,False,-0.79834597969550514,1.3665569892860103,0.56369400000000003
0.5,27,-1.3183383688903305,0.56899999999999995,0.57799999999999996,0.99335820028940147,0.98592257876242229,1,0,0,88,True,0.0085495668840987592,False,False,-1.3475760776189629,1.6531130939443468,0.58186099999999996
1,28,-0.033448221325486749,0.49199999999999999,0.48299999999999998,0.076990423983769832,0.75908701061223738,0,0,0,45,True,0.0079158932634989885,False,False,0.00084786314457791824,1.1837821058171558,0.499774
0.84999999999999998,28,-0.50677692164006494,0.52349999999999997,0.52900000000000003,0.53074641793041322,0.77218174228710934,0,0,0,44,True,0.0076678132024604086,False,False,-0.29333850291300162,1.2098295592007686,0.52929400000000004
0.65000000000000002,28,-1.0719472187571588,0.5655,0.58199999999999996,0.073548703650215652,0.14505204876108996,1,0,0,98,True,0.0081047002113261712,False,False,-0.79834597969550514,1.3665569892860103,0.56369400000000003
0.5,28,-1.481532360115758,0.58274999999999999,0.59399999999999997,0.34090778908084129,0.39023426167720149,1,0,0,104,True,0.0082714595741633576,False,False,-1.3475760776189629,1.6531130939443468,0.58186099999999996
1,29,0.075655950148099393,0.49762499999999998,0.51000000000000001,0.25935257847095566,0.37452115285657017,0,0,0,35,True,0.0084209243874794684,False,False,0.00084786314457791824,1.1837821058171558,0.499774
0.84999999999999998,29,-0.4476009075474654,0.53137500000000004,0.53900000000000003,0.47803899564648933,0.20367350740946369,0,0,0,43,True,0.0081379139495631504,False,False,-0.29333850291300162,1.2098295592007686,0.52929400000000004
0.65000000000000002,29,-1.1920032568936609,0.57187500000000002,0.57199999999999995,0.26971762225831031,0.15873060561548571,1,0,0,114,True,0.0085342377109612379,False,False,-0.79834597969550514,1.3665569892860103,0.56369400000000003
0.5,29,-1.539066317791002,0.58975,0.59299999999999997,0.82189608232391698,0.67898395085170948,1,0,0,121,True,0.0083247479908422021,False,False,-1.3475760776189629,1.6531130939443468,0.58186099999999996
1,30,-0.0090889548254895133,0.49775000000000003,0.48799999999999999,0.28605592284684728,0.62395467393049153,0,0,0,53,True,0.0077155489882746592,False,False,0.00084786314457791824,1.1837821058171558,0.499774
0.84999999999999998,30,-0.58228307022590975,0.51949999999999996,0.52500000000000002,0.10882572732973025,0.64820048843393541,1,0,0,80,True,0.0077929059266510269,False,False,-0.29333850291300162,1.2098295592007686,0.52929400000000004
0.65000000000000002,30,-1.1413264077564513,0.55787500000000001,0.56299999999999994,0.33453084009258038,0.47015100300121404,1,0,0,100,True,0.0081146186413237412,False,False,-0.79834597969550514,1.3665569892860103,0.56369400000000003
