w,Gamma,alpha,beta,s_max,v_max,dmu_std_target,delta_P,delta_C,rho,budget,mon_len,warmup,n_calib,n_val,n_drift,lambda_star_Data,lambda_star_Concept,lambda_C_literal,lambda_iid_H,w_star_predicted,w_over_wstar_predicted,regime_predicted,w_delta_applied,w_over_wdelta_applied,regime_applied,FPR_Data_val,FPR_Concept_val,FPR_Concept_literal,n_alarm_Data_null,n_alarm_Concept_null,censored_Data,DetRate_Data,ADD_Data,MED_Data,SEM_Data,DetRate_Concept,ADD_Concept,MED_Concept,SEM_Concept,DetRate_Concept_literal,n_detected_Concept,realised_horizon_margin,horizon_cap_bound
14333,3.9999999999416831,0.080000000000000002,0.84329230085937235,2.3105207325389308,5.3385060554922381,2,0.5,0.10000000000000001,0.25,3e6,3000000,3000,400,400,400,1310.3012926462486,18.800000000000001,10,282.536301764813,2009.1470347427119,7.1338731074181743,ramp,2329.4245202599977,6.1530218624127082,ramp,0.035000000000000003,0.085000000000000006,1,14,34,0,1,7561.1274999999996,7434.5,77.188393790447847,0.052499999999999998,1773481.6666666667,1782747,192319.95898262298,1,21,4.4242102419834062,True
23467,3.9999999999416831,0.080000000000000002,0.84329230085937235,2.3105207325389308,5.3385060554922381,2,0.5,0.10000000000000001,0.25,3e6,3000000,3000,400,400,400,1310.3012926462486,18.800000000000001,10,282.536301764813,2009.1470347427119,11.680080946890552,ramp,2329.4245202599977,10.074162006923814,ramp,0.035000000000000003,0.085000000000000006,1,14,34,0,1,10846.6525,10592.5,113.8353933154693,0.052499999999999998,1773481.6666666667,1782747,192319.95898262298,1,21,4.4242102419834062,True
38422,3.9999999999416831,0.080000000000000002,0.84329230085937235,2.3105207325389308,5.3385060554922381,2,0.5,0.10000000000000001,0.25,3e6,3000000,3000,400,400,400,1310.3012926462486,18.800000000000001,10,282.536301764813,2009.1470347427119,19.123538165996028,ramp,2329.4245202599977,16.494202609197032,ramp,0.035000000000000003,0.085000000000000006,1,14,34,0,1,15885.34,15599.5,172.18265960651476,0.052499999999999998,1773481.6666666667,1782747,192319.95898262298,1,21,4.4242102419834062,True
62907,3.9999999999416831,0.080000000000000002,0.84329230085937235,2.3105207325389308,5.3385060554922381,2,0.5,0.10000000000000001,0.25,3e6,3000000,3000,400,400,400,1310.3012926462486,18.800000000000001,10,282.536301764813,2009.1470347427119,31.310301790857118,ramp,2329.4245202599977,27.00538242508869,ramp,0.035000000000000003,0.085000000000000006,1,14,34,0,1,23651.6525,22993,279.77546943953047,0.052499999999999998,1773481.6666666667,1782747,192319.95898262298,1,21,4.4242102419834062,True
102997,3.9999999999416831,0.080000000000000002,0.84329230085937235,2.3105207325389308,5.3385060554922381,2,0.5,0.10000000000000001,0.25,3e6,3000000,3000,400,400,400,1310.3012926462486,18.800000000000001,10,282.536301764813,2009.1470347427119,51.264043008773434,ramp,2329.4245202599977,44.215641719313588,ramp,0.035000000000000003,0.085000000000000006,1,14,34,0,1,35332.872499999998,34416.5,434.05395750202223,0.052499999999999998,1773481.6666666667,1782747,192319.95898262298,1,21,4.4242102419834062,True
168635,3.9999999999416831,0.080000000000000002,0.84329230085937235,2.3105207325389308,5.3385060554922381,2,0.5,0.10000000000000001,0.25,3e6,3000000,3000,400,400,400,1310.3012926462486,18.800000000000001,10,282.536301764813,2009.1470347427119,83.933628093871747,ramp,2329.4245202599977,72.393416714432917,ramp,0.035000000000000003,0.085000000000000006,1,14,34,0,1,53785.730000000003,51963,677.5933139357827,0.052499999999999998,1773481.6666666667,1782747,192319.95898262298,1,21,4.4242102419834062,True
276103,3.9999999999416831,0.080000000000000002,0.84329230085937235,2.3105207325389308,5.3385060554922381,2,0.5,0.10000000000000001,0.25,3e6,3000000,3000,400,400,400,1310.3012926462486,18.800000000000001,10,282.536301764813,2009.1470347427119,137.42299355176726,ramp,2329.4245202599977,118.52841661046089,ramp,0.035000000000000003,0.085000000000000006,1,14,34,0,1,83384.690000000002,80631.5,1065.418368245892,0.052499999999999998,1773481.6666666667,1782747,192319.95898262298,1,21,4.4242102419834062,True
452058,3.9999999999416831,0.080000000000000002,0.84329230085937235,2.3105207325389308,5.3385060554922381,2,0.5,0.10000000000000001,0.25,3e6,3000000,3000,400,400,400,1310.3012926462486,18.800000000000001,10,282.536301764813,2009.1470347427119,224.99995877996545,ramp,2329.4245202599977,194.06424035990818,ramp,0.035000000000000003,0.085000000000000006,1,14,34,0,1,129389.22500000001,125451.5,1668.9342409303645,0.052499999999999998,1773481.6666666667,1782747,192319.95898262298,1,21,4.4242102419834062,True
339,7.9999999997588649,0.080000000000000002,0.87872564178299695,2.3766116087209559,5.648282738707211,2,0.5,0.10000000000000001,0.25,3e6,3000000,3000,400,400,400,3032.3611786931569,18.800000000000001,10,282.536301764813,4018.2940694228882,0.084364159054363966,saturated,5390.8643176767237,0.062884164768980372,saturated,0.035000000000000003,0.085000000000000006,1,14,34,0,1,2403.2824999999998,2026,126.23864417222039,0.052499999999999998,1773481.6666666667,1782747,192319.95898262298,1,21,4.4242102419834062,True
555,7.9999999997588649,0.080000000000000002,0.87872564178299695,2.3766116087209559,5.648282738707211,2,0.5,0.10000000000000001,0.25,3e6,3000000,3000,400,400,400,3032.3611786931569,18.800000000000001,10,282.536301764813,4018.2940694228882,0.13811831349608261,saturated,5390.8643176767237,0.10295195117045458,saturated,0.035000000000000003,0.085000000000000006,1,14,34,0,1,2526.4524999999999,2138.5,126.11084144586792,0.052499999999999998,1773481.6666666667,1782747,192319.95898262298,1,21,4.4242102419834062,True
