K,c,k_index,c_index,DetRate,CI_low,CI_high,ADD,SEM,ADD_single,budget_reduction,add_reliable,n_detected,deff,deff_clamped,deff_lags,n_eff,SEM_design,distinct_starts,ADD_single_DetRate,ADD_single_reliable,ADD_single_SEM,ADD_single_SEM_design,ADD_single_n_detected
5,0.5,1,2,1,0.99808295271874692,0.99999999999999978,153.42699999999999,1.119924975824603,184.7835,1.2043740671459391,1,2000,40.75540473207429,False,1280,49.073245944874898,7.1495965487776338,1589,1,1,1.6706477324073734,1.6706477324073734,2000
10,0.5,2,2,1,0.99808295271874692,0.99999999999999978,105.61,0.83215214269645255,184.7835,1.749678060789698,1,2000,10.08718599625821,False,1280,198.27135146926901,2.6429427158976884,1535,1,1,1.6706477324073734,1.6706477324073734,2000
20,0.5,3,2,1,0.99808295271874692,0.99999999999999978,87.617000000000004,0.76423797690423045,184.7835,2.1089914057774175,1,2000,23.896791864167422,False,1280,83.693242648145784,3.7359272927728302,1571,1,1,1.6706477324073734,1.6706477324073734,2000
30,0.5,4,2,1,0.99808295271874692,0.99999999999999978,96.037999999999997,0.7723668514874511,184.7835,1.924066515337679,1,2000,29.487959925329363,False,1280,67.824291848757355,4.1941696208492294,1555,1,1,1.6706477324073734,1.6706477324073734,2000
40,0.5,5,2,1,0.99808295271874692,0.99999999999999978,104.3955,0.84695053130406506,184.7835,1.7700331910858227,1,2000,28.652366347104206,False,1280,69.802262604468368,4.5335487745650074,1565,1,1,1.6706477324073734,1.6706477324073734,2000
50,0.5,6,2,1,0.99808295271874692,0.99999999999999978,80.123000000000005,0.66437913522149294,184.7835,2.3062478938631852,1,2000,21.924062123460924,False,1280,91.223970664624289,3.110831565028449,1569,1,1,1.6706477324073734,1.6706477324073734,2000
60,0.5,7,2,1,0.99808295271874692,0.99999999999999978,88.3245,0.72071583549466034,184.7835,2.0920978890341866,1,2000,24.33744443453071,False,1280,82.177896918475909,3.5555071057915058,1569,1,1,1.6706477324073734,1.6706477324073734,2000
75,0.5,8,2,1,0.99808295271874692,0.99999999999999978,84.909000000000006,0.74274436658721843,184.7835,2.1762534006995722,1,2000,27.948147418968141,False,1280,71.561093836316999,3.9265929204754157,1573,1,1,1.6706477324073734,1.6706477324073734,2000
97,0.5,9,2,1,0.99808295271874692,0.99999999999999978,86.688500000000005,0.74406252989866362,184.7835,2.131580313421042,1,2000,23.471005216279046,False,1280,85.211518704483851,3.6047510708592934,1563,1,1,1.6706477324073734,1.6706477324073734,2000
1,0.75,0,3,1,0.99808295271874692,0.99999999999999978,135.23349999999999,1.0613032889851066,132.328,0.97851493897591946,1,2000,1,True,1280,2000,1.0613032889851066,1591,1,1,1.021555429601289,1.021555429601289,2000
5,0.75,1,3,1,0.99808295271874692,0.99999999999999978,112.6315,0.69926664498987634,132.328,1.1748755898660677,1,2000,36.596310500455807,False,1280,54.650317823024537,4.2302054919765801,1553,1,1,1.021555429601289,1.021555429601289,2000
10,0.75,2,3,1,0.99808295271874692,0.99999999999999978,80.191000000000003,0.52326920875627314,132.328,1.6501602424212194,1,2000,11.222095944374429,False,1280,178.21982719748428,1.7529202923528278,1547,1,1,1.021555429601289,1.021555429601289,2000
