Gamma,arm,c,lambda_star,delta,DetRate,CI_low,CI_high,n_detected,n_censored,horizon,ADD_conditional,SEM
50,Recalib,2,3000.0002500000001,0.125,0.27500000000000002,0.16108016247667337,0.42834955806210573,11,29,5000,3674.181818181818,272.3695623824305
50,Eco_L1,2,23.4384765625,0.25,1,0.91237839880271354,1,40,0,5000,19.800000000000001,0.69356012070017481
50,Oracle_Eco,2,18.555668945312501,0.25,1,0.91237839880271354,1,40,0,5000,10.675000000000001,0.63386027336775586
50,Concept,2,11.719738281249999,0.097857898926720588,1,0.91237839880271354,1,40,0,5000,31.949999999999999,0.76119844779339696
200,Recalib,0.25,875.00012500000003,0.125,0.14999999999999999,0.07061187717320358,0.2907232436648971,6,34,5000,2866.8333333333335,780.69966127257362
200,Eco_L1,0.25,23.4384765625,0.25,0.97499999999999998,0.87118631036525906,0.99557316849731858,39,1,5000,469.71794871794873,109.0176968679333
200,Oracle_Eco,0.25,17.579107421875001,0.25,1,0.91237839880271354,1,40,0,5000,250.92500000000001,35.095810026415634
200,Concept,0.25,10.132825805664062,0.097857898926720588,1,0.91237839880271354,1,40,0,5000,316.10000000000002,36.207889776280552
200,Recalib,0.5,875.00012500000003,0.125,0.22500000000000001,0.12316091323540743,0.37503096742310027,9,31,5000,2697.3333333333335,320.53726599084996
200,Eco_L1,0.5,23.4384765625,0.25,1,0.91237839880271354,1,40,0,5000,129.97499999999999,47.813707501092189
200,Oracle_Eco,0.5,17.579107421875001,0.25,1,0.91237839880271354,1,40,0,5000,97.349999999999994,45.033485404666472
200,Concept,0.5,10.132825805664062,0.097857898926720588,1,0.91237839880271354,1,40,0,5000,118.59999999999999,43.954591954039955
200,Recalib,1,875.00012500000003,0.125,0.125,0.05459500250945401,0.261121198388511,5,35,5000,2559.8000000000002,403.46690074899578
200,Eco_L1,1,23.4384765625,0.25,1,0.91237839880271354,1,40,0,5000,38.299999999999997,2.6978624016916686
200,Oracle_Eco,1,17.579107421875001,0.25,1,0.91237839880271354,1,40,0,5000,22.074999999999999,2.0919220397789253
200,Concept,1,10.132825805664062,0.097857898926720588,1,0.91237839880271354,1,40,0,5000,43.075000000000003,3.1071438571005925
200,Recalib,2,875.00012500000003,0.125,0.47499999999999998,0.329354701126789,0.62502637893307533,19,21,5000,2636.5263157894738,292.97340725599548
200,Eco_L1,2,23.4384765625,0.25,1,0.91237839880271354,1,40,0,5000,20.225000000000001,1.1964088894559546
200,Oracle_Eco,2,17.579107421875001,0.25,1,0.91237839880271354,1,40,0,5000,10.324999999999999,0.82383367440092115
200,Concept,2,10.132825805664062,0.097857898926720588,1,0.91237839880271354,1,40,0,5000,29.300000000000001,0.88665317128731136
