data_source,Date,S_over_thr_Data,S_over_thr_Concept
firstrate,2020-07-16,0.36401159757647977,0.045864811133200803
firstrate,2020-07-17,0.36312591252282889,0.077892644135188857
firstrate,2020-07-20,0.36252268184681807,0.11202783300198807
firstrate,2020-07-21,0.36161059156001291,0.14616302186878727
firstrate,2020-07-22,0.36081314912299861,0.18029821073558647
firstrate,2020-07-23,0.36056901265549662,0.11443339960238567
firstrate,2020-07-24,0.35983857269197606,0.091729622266401606
firstrate,2020-07-27,0.35917741223129723,0.08270377733598408
firstrate,2020-07-28,0.35843352402913753,0.083459244532803206
firstrate,2020-07-29,0.35811139022178284,0.050974155069582493
firstrate,2020-07-30,0.35723388305409798,0.075188866799204807
firstrate,2020-07-31,0.35660798131102112,0.034135188866799206
firstrate,2020-08-03,0.35590310039973649,0.068270377733598411
firstrate,2020-08-04,0.35506000967046669,0.10240556660039761
firstrate,2020-08-05,0.35432420306852497,0.13654075546719682
firstrate,2020-08-06,0.35360238368354996,0.17067594433399602
firstrate,2020-08-07,0.35267759867615861,0.20481113320079522
firstrate,2020-08-10,0.35180336744040741,0.23894632206759442
firstrate,2020-08-11,0.35126634005683527,0.17308151093439364
firstrate,2020-08-12,0.35119472180926725,0.20721669980119284
firstrate,2020-08-13,0.35027206916456627,0.14135188866799203
firstrate,2020-08-14,0.34934831822834223,0.091729622266401606
firstrate,2020-08-17,0.34849140410968943,0.10962226640159045
firstrate,2020-08-18,0.34758381598164872,0.14375745526838965
firstrate,2020-08-19,0.34674483115570448,0.077892644135188857
firstrate,2020-08-20,0.34588985441446762,0.11202783300198807
firstrate,2020-08-21,0.34501911131194418,0.14616302186878727
firstrate,2020-08-24,0.34450927510501478,0.18029821073558647
firstrate,2020-08-25,0.34366628865114934,0.21443339960238567
firstrate,2020-08-26,0.34318137934240694,0.24856858846918489
firstrate,2020-08-27,0.34228617751876639,0.28270377733598406
firstrate,2020-08-28,0.34154074171873405,0.31683896620278329
firstrate,2020-08-31,0.34063805916512457,0.25097415506958248
firstrate,2020-09-01,0.34001909344332082,0.28510934393638171
firstrate,2020-09-02,0.34009912931559155,0.31924453280318088
firstrate,2020-09-03,0.34420447948111388,0.25337972166998013
firstrate,2020-09-04,0.34382713832425554,0.18751491053677932
firstrate,2020-09-08,0.34603114752076519,0.13759443339960239
firstrate,2020-09-09,0.34625649810559911,0.15578528827037771
firstrate,2020-09-10,0.34647300353357285,0.12932405566600397
firstrate,2020-09-11,0.34555041396157243,0.12405566600397613
firstrate,2020-09-14,0.34538675598371193,0.15819085487077533
firstrate,2020-09-15,0.34463142222599147,0.19232604373757453
firstrate,2020-09-16,0.34381285657374022,0.12646123260437375
firstrate,2020-09-17,0.34313983982599927,0.091729622266401606
firstrate,2020-09-18,0.34361967945470467,0.13759443339960239
firstrate,2020-09-21,0.34319585857451479,0.18345924453280321
firstrate,2020-09-22,0.34265836097375796,0.12932405566600397
firstrate,2020-09-23,0.34415492314625201,0.17518886679920476
firstrate,2020-09-24,0.3432606987279333,0.12105367793240554
firstrate,2020-09-25,0.34331751225086382,0.068270377733598411
firstrate,2020-09-28,0.34374861362360254,0.10240556660039761
firstrate,2020-09-29,0.34289890117529376,0.058648111332007938
firstrate,2020-09-30,0.34200003116583833,0.070675944333996016
firstrate,2020-10-01,0.34158665212986616,0.10481113320079523
firstrate,2020-10-02,0.34104902176951341,0.045864811133200803
firstrate,2020-10-05,0.34142664470963241,0.073081510934393634
firstrate,2020-10-06,0.34125467197448689,0.045864811133200803
firstrate,2020-10-07,0.34149667251198129,0.04135188866799204
firstrate,2020-10-08,0.34096647458900425,0.075487077534791253
firstrate,2020-10-09,0.34044659209945199,0.10962226640159045
firstrate,2020-10-12,0.34068679158264975,0.14375745526838965
firstrate,2020-10-13,0.33992643269140366,0.077892644135188857
firstrate,2020-10-14,0.33921644049862043,0.091729622266401606
firstrate,2020-10-15,0.33829686069186732,0.13759443339960239
firstrate,2020-10-16,0.33737607281511311,0.18345924453280321
firstrate,2020-10-19,0.33733635425239444,0.22932405566600397
firstrate,2020-10-20,0.33641986877557317,0.17518886679920476
firstrate,2020-10-21,0.3354962263219729,0.12105367793240554
firstrate,2020-10-22,0.33466004377586983,0.10240556660039761
