data_source,Date,S_over_thr_Data,S_over_thr_Concept
yfinance,2020-07-02,0.36744353697558718,0.13495029821073559
yfinance,2020-07-06,0.36762651076592023,0.16868787276341948
yfinance,2020-07-07,0.36722301974828087,0.10242544731610337
yfinance,2020-07-08,0.36659167902514705,0.13616302186878726
yfinance,2020-07-09,0.36584295409415946,0.069900596421471159
yfinance,2020-07-10,0.36541977822907962,0.10363817097415504
yfinance,2020-07-13,0.36486948269187952,0.046262425447316104
yfinance,2020-07-14,0.36473487493082513,0.07111332007952284
yfinance,2020-07-15,0.36422147061128585,0.10485089463220673
yfinance,2020-07-16,0.3633726396817562,0.046262425447316104
yfinance,2020-07-17,0.36251227422599047,0.072326043737574536
yfinance,2020-07-20,0.36191196755591509,0.10606361829025843
yfinance,2020-07-21,0.36103379004014102,0.13980119284294232
yfinance,2020-07-22,0.36028331101496014,0.17353876739562621
yfinance,2020-07-23,0.36004862108250535,0.10727634194831011
yfinance,2020-07-24,0.35934208028725512,0.092524850894632193
yfinance,2020-07-27,0.35868647754846106,0.074751491053677913
yfinance,2020-07-28,0.35797410730249263,0.085049701789264395
yfinance,2020-07-29,0.35776403847172467,0.042226640159045717
yfinance,2020-07-30,0.35692394616206791,0.077574552683896597
yfinance,2020-07-31,0.35631057981125502,0.033737574552683905
yfinance,2020-08-03,0.3556328772345092,0.06747514910536781
yfinance,2020-08-04,0.35480239613551445,0.1012127236580517
yfinance,2020-08-05,0.35408016620072291,0.13495029821073559
yfinance,2020-08-06,0.35338581594483975,0.16868787276341948
yfinance,2020-08-07,0.35248918069362256,0.20242544731610335
yfinance,2020-08-10,0.35163124732014794,0.23616302186878727
yfinance,2020-08-11,0.35104901881359774,0.16990059642147115
yfinance,2020-08-12,0.35103392087103719,0.20363817097415504
yfinance,2020-08-13,0.35015000856495798,0.13737574552683893
yfinance,2020-08-14,0.34925100531909209,0.17111332007952282
yfinance,2020-08-17,0.34839838453261224,0.20485089463220674
yfinance,2020-08-18,0.34752084945457434,0.23858846918489066
yfinance,2020-08-19,0.34670210598790557,0.17232604373757454
yfinance,2020-08-20,0.3458476460269635,0.20606361829025843
yfinance,2020-08-21,0.34500645698844762,0.2398011928429423
yfinance,2020-08-24,0.34457608624849551,0.27353876739562621
yfinance,2020-08-25,0.34373335206507222,0.30727634194831011
yfinance,2020-08-26,0.34329317919911551,0.34101391650099405
yfinance,2020-08-27,0.3424161741365585,0.37475149105367794
yfinance,2020-08-28,0.34170828855933216,0.40848906560636189
yfinance,2020-08-31,0.34087000342854878,0.3422266401590458
yfinance,2020-09-01,0.34037618971696343,0.37596421471172969
yfinance,2020-09-02,0.3404279835771864,0.40970178926441364
yfinance,2020-09-03,0.3451836596245958,0.3434393638170975
