arm,alpha,stopping_protocol,guarantee_type,threshold,N_streams,FPR,CI_low,CI_high,bound_target,bound_respected
CUSUM,0.014999999999999999,peeking,fixed_horizon,0.014999999999999999,20000,0.058950000000000002,0.055769677717666805,0.06229971728742309,0.014999999999999999,False
CUSUM,0.01,nominal,fixed_horizon,0.01,20000,0.010500000000000001,0.0091783594192317054,0.012009643879694724,0.01,FPR~alpha at calibration point
CUSUM,0.01,extended,fixed_horizon,0.01,20000,5.0000000000000002e-05,8.8262822729748237e-06,0.00028319057022604022,0.01,True
CUSUM,0.01,peeking,fixed_horizon,0.01,20000,0.042099999999999999,0.039403676927709588,0.044972189692471021,0.01,False
MIX,0.10000000000000001,nominal,ville_anytime,0.10000000000000001,20000,0.083750000000000005,0.079990344352495621,0.087669525664211476,0.10000000000000001,True
MIX,0.10000000000000001,extended,ville_anytime,0.10000000000000001,20000,0,0,0.00019203605610462553,0.10000000000000001,True
MIX,0.10000000000000001,peeking,ville_anytime,0.10000000000000001,20000,0.095399999999999999,0.091406024197955182,0.099549371378644669,0.10000000000000001,True
MIX,0.070000000000000007,nominal,ville_anytime,0.070000000000000007,20000,0.059799999999999999,0.05659756399820913,0.063171504545585386,0.070000000000000007,True
MIX,0.070000000000000007,extended,ville_anytime,0.070000000000000007,20000,0,0,0.00019203605610462553,0.070000000000000007,True
MIX,0.070000000000000007,peeking,ville_anytime,0.070000000000000007,20000,0.068650000000000003,0.065227823340289648,0.072237846165311814,0.070000000000000007,True
MIX,0.050000000000000003,nominal,ville_anytime,0.050000000000000003,20000,0.042549999999999998,0.039839424212362855,0.045436269575367262,0.050000000000000003,True
MIX,0.050000000000000003,extended,ville_anytime,0.050000000000000003,20000,0,0,0.00019203605610462553,0.050000000000000003,True
MIX,0.050000000000000003,peeking,ville_anytime,0.050000000000000003,20000,0.049450000000000001,0.046530846753527519,0.052542196936628358,0.050000000000000003,True
MIX,0.035000000000000003,nominal,ville_anytime,0.035000000000000003,20000,0.0287,0.026475026497328902,0.031105986689155315,0.035000000000000003,True
MIX,0.035000000000000003,extended,ville_anytime,0.035000000000000003,20000,0,0,0.00019203605610462553,0.035000000000000003,True
MIX,0.035000000000000003,peeking,ville_anytime,0.035000000000000003,20000,0.033700000000000001,0.031287239432944404,0.036291853392978767,0.035000000000000003,True
MIX,0.025000000000000001,nominal,ville_anytime,0.025000000000000001,20000,0.020250000000000001,0.018388038420194076,0.022296220175638308,0.025000000000000001,True
MIX,0.025000000000000001,extended,ville_anytime,0.025000000000000001,20000,0,0,0.00019203605610462553,0.025000000000000001,True
MIX,0.025000000000000001,peeking,ville_anytime,0.025000000000000001,20000,0.024150000000000001,0.022112056197876134,0.026370704516718638,0.025000000000000001,True
MIX,0.014999999999999999,nominal,ville_anytime,0.014999999999999999,20000,0.01205,0.010628801092715492,0.013658606894437011,0.014999999999999999,True
MIX,0.014999999999999999,extended,ville_anytime,0.014999999999999999,20000,0,0,0.00019203605610462553,0.014999999999999999,True
MIX,0.014999999999999999,peeking,ville_anytime,0.014999999999999999,20000,0.0147,0.013122830383460508,0.01646355981259464,0.014999999999999999,True
MIX,0.01,nominal,ville_anytime,0.01,20000,0.0077499999999999999,0.0066256445437828746,0.0090634149534521303,0.01,True
MIX,0.01,extended,ville_anytime,0.01,20000,0,0,0.00019203605610462553,0.01,True
MIX,0.01,peeking,ville_anytime,0.01,20000,0.0094000000000000004,0.0081536731881300881,0.010834752590119772,0.01,True
eCUSUM,0.10000000000000001,nominal,arl0_only,0.10000000000000001,20000,1,0.99980796394389537,0.99999999999999989,0.10000000000000001,n/a (documentary)
eCUSUM,0.10000000000000001,extended,arl0_only,0.10000000000000001,20000,0.19184999999999999,0.18645230327740703,0.19736604854397022,0.10000000000000001,n/a (documentary)
eCUSUM,0.10000000000000001,peeking,arl0_only,0.10000000000000001,20000,1,0.99980796394389537,0.99999999999999989,0.10000000000000001,n/a (documentary)
eCUSUM,0.070000000000000007,nominal,arl0_only,0.070000000000000007,20000,1,0.99980796394389537,0.99999999999999989,0.070000000000000007,n/a (documentary)
eCUSUM,0.070000000000000007,extended,arl0_only,0.070000000000000007,20000,0.1361,0.13141763334525783,0.14092213049637506,0.070000000000000007,n/a (documentary)
eCUSUM,0.070000000000000007,peeking,arl0_only,0.070000000000000007,20000,1,0.99980796394389537,0.99999999999999989,0.070000000000000007,n/a (documentary)
eCUSUM,0.050000000000000003,nominal,arl0_only,0.050000000000000003,20000,1,0.99980796394389537,0.99999999999999989,0.050000000000000003,n/a (documentary)
eCUSUM,0.050000000000000003,extended,arl0_only,0.050000000000000003,20000,0.097199999999999995,0.093171555967711664,0.10138314827908622,0.050000000000000003,n/a (documentary)
eCUSUM,0.050000000000000003,peeking,arl0_only,0.050000000000000003,20000,1,0.99980796394389537,0.99999999999999989,0.050000000000000003,n/a (documentary)
eCUSUM,0.035000000000000003,nominal,arl0_only,0.035000000000000003,20000,0.99895,0.99839526431430059,0.99931310290531261,0.035000000000000003,n/a (documentary)
eCUSUM,0.035000000000000003,extended,arl0_only,0.035000000000000003,20000,0.068199999999999997,0.064788564409762259,0.071777277928289682,0.035000000000000003,n/a (documentary)
eCUSUM,0.035000000000000003,peeking,arl0_only,0.035000000000000003,20000,1,0.99980796394389537,0.99999999999999989,0.035000000000000003,n/a (documentary)
eCUSUM,0.025000000000000001,nominal,arl0_only,0.025000000000000001,20000,0.99295,0.99169203413299944,0.99401863751928687,0.025000000000000001,n/a (documentary)
eCUSUM,0.025000000000000001,extended,arl0_only,0.025000000000000001,20000,0.049500000000000002,0.046579398544236622,0.052593625942313649,0.025000000000000001,n/a (documentary)
eCUSUM,0.025000000000000001,peeking,arl0_only,0.025000000000000001,20000,1,0.99980796394389537,0.99999999999999989,0.025000000000000001,n/a (documentary)
eCUSUM,0.014999999999999999,nominal,arl0_only,0.014999999999999999,20000,0.93979999999999997,0.93641830774790458,0.94301277733714561,0.014999999999999999,n/a (documentary)
eCUSUM,0.014999999999999999,extended,arl0_only,0.014999999999999999,20000,0.02945,0.027195778617158793,0.031884946515241264,0.014999999999999999,n/a (documentary)
eCUSUM,0.014999999999999999,peeking,arl0_only,0.014999999999999999,20000,1,0.99980796394389537,0.99999999999999989,0.014999999999999999,n/a (documentary)
eCUSUM,0.01,nominal,arl0_only,0.01,20000,0.83389999999999997,0.82867805235866132,0.83899370596307199,0.01,n/a (documentary)
eCUSUM,0.01,extended,arl0_only,0.01,20000,0.019550000000000001,0.017721477209582809,0.021563050236728123,0.01,n/a (documentary)
eCUSUM,0.01,peeking,arl0_only,0.01,20000,0.99939999999999996,0.99895146445408933,0.9996567299330732,0.01,n/a (documentary)
