K,c,rho_sign_meas,K_eff_meas,DetRate,CI_low,CI_high,ADD,SEM,ADD_single,budget_reduction,add_reliable
30,0.25,0.2565631287605355,3.556794027204368,1.0,0.9980829527187469,0.9999999999999998,175.5525,1.5877641888626652,329.019,1.8741914811808433,1
40,0.25,0.2589459800172065,3.6075628422905197,1.0,0.9980829527187469,0.9999999999999998,191.3775,1.7899856203711715,329.019,1.7192146412195792,1
50,0.25,0.2535884359346775,3.725011576922399,1.0,0.9980829527187469,0.9999999999999998,147.2315,1.4446286477292078,329.019,2.234705209143424,1
60,0.25,0.2601653036227403,3.672616073161605,1.0,0.9980829527187469,0.9999999999999998,160.0545,1.5319158423193406,329.019,2.0556685379042765,1
75,0.25,0.2546425985655572,3.7827310980487914,1.0,0.9980829527187469,0.9999999999999998,155.348,1.5731622191254917,329.019,2.1179480907382136,1
97,0.25,0.26023043840799664,3.7370099487341837,1.0,0.9980829527187469,0.9999999999999998,162.244,1.5969520531092862,329.019,2.027927072803925,1
1,0.5,0.0,1.0,1.0,0.9980829527187469,0.9999999999999998,183.953,1.702654372283385,183.953,1.0,1
5,0.5,0.2577415599534342,2.461882379915166,1.0,0.9980829527187469,0.9999999999999998,153.5925,1.1157502727808786,183.953,1.197669157022641,1
10,0.5,0.25904514047705035,3.006299797776757,1.0,0.9980829527187469,0.9999999999999998,106.5605,0.8245186992529089,183.953,1.726277560634569,1
20,0.5,0.2881019576606426,3.091784464945219,1.0,0.9980829527187469,0.9999999999999998,87.3975,0.763631988448553,183.953,2.104785605995595,1
30,0.5,0.2565631287605355,3.556794027204368,1.0,0.9980829527187469,0.9999999999999998,96.3635,0.7906122423374603,183.953,1.9089489277579166,1
40,0.5,0.2589459800172065,3.6075628422905197,1.0,0.9980829527187469,0.9999999999999998,102.0905,0.7824325883120067,183.953,1.8018620733564827,1
50,0.5,0.2535884359346775,3.725011576922399,1.0,0.9980829527187469,0.9999999999999998,81.492,0.7021954907670847,183.953,2.2573136013351003,1
60,0.5,0.2601653036227403,3.672616073161605,1.0,0.9980829527187469,0.9999999999999998,87.1045,0.7144459436361782,183.953,2.1118656326596215,1
75,0.5,0.2546425985655572,3.7827310980487914,1.0,0.9980829527187469,0.9999999999999998,84.695,0.7310250928273061,183.953,2.171946395891139,1
97,0.5,0.26023043840799664,3.7370099487341837,1.0,0.9980829527187469,0.9999999999999998,87.781,0.7316503096341815,183.953,2.0955901618801334,1
1,0.75,0.0,1.0,1.0,0.9980829527187469,0.9999999999999998,133.444,1.0412785710516017,133.444,1.0,1
5,0.75,0.2577415599534342,2.461882379915166,1.0,0.9980829527187469,0.9999999999999998,112.244,0.6800610071800495,133.444,1.1888742382666333,1
10,0.75,0.25904514047705035,3.006299797776757,1.0,0.9980829527187469,0.9999999999999998,80.945,0.5496904285901674,133.444,1.6485761937117795,1
20,0.75,0.2881019576606426,3.091784464945219,1.0,0.9980829527187469,0.9999999999999998,65.4125,0.4770093718633028,133.444,2.0400382189948405,1
30,0.75,0.2565631287605355,3.556794027204368,1.0,0.9980829527187469,0.9999999999999998,72.049,0.5153334685345945,133.444,1.852128412608086,1
40,0.75,0.2589459800172065,3.6075628422905197,1.0,0.9980829527187469,0.9999999999999998,77.1305,0.5171914329957351,133.444,1.7301067671025079,1
50,0.75,0.2535884359346775,3.725011576922399,1.0,0.9980829527187469,0.9999999999999998,60.193,0.45580670835090703,133.444,2.21693552406426,1
60,0.75,0.2601653036227403,3.672616073161605,1.0,0.9980829527187469,0.9999999999999998,65.6405,0.5015255664688599,133.444,2.032952217000175,1
75,0.75,0.2546425985655572,3.7827310980487914,1.0,0.9980829527187469,0.9999999999999998,62.902,0.46585105624362555,133.444,2.1214587771454005,1
97,0.75,0.26023043840799664,3.7370099487341837,1.0,0.9980829527187469,0.9999999999999998,64.806,0.47752036066268805,133.444,2.059130327438817,1
1,1.0,0.0,1.0,1.0,0.9980829527187469,0.9999999999999998,109.5155,0.734637479297098,109.5155,1.0,1
5,1.0,0.2577415599534342,2.461882379915166,1.0,0.9980829527187469,0.9999999999999998,95.2805,0.4894698154382071,109.5155,1.149400979214005,1
10,1.0,0.25904514047705035,3.006299797776757,1.0,0.9980829527187469,0.9999999999999998,66.843,0.366804373234715,109.5155,1.638398934817408,1
