gamma,seed,stream,p_data,p_concept
1,3012793563,90,0.46977972802839585,0.98552960892265473
1,182294539,91,0.75306319092057006,0.14898697827302554
1,429184814,92,0.34626321225055567,0.1348344273331735
1,3268183641,93,0.91816647512439931,0.32200429406336267
1,3509645600,94,0.49086339276751867,0.31024300066664046
1,1622672077,95,0.92509750585352124,0.0032727397344567127
1,2337336328,96,0.98013400276285956,0.044090845369339444
1,2195908324,97,0.52693942614195799,0.86327099159074527
1,1044975546,98,0.87324298073953788,0.64847635710108797
1,3580746988,99,0.52726212758272584,0.42973577350745151
1,304414427,100,0.39885798294440528,0.47252076402042842
2,239631923,1,2.4240423181712944e-16,0.92887427640844999
2,1606925665,2,5.3301190264399555e-63,0.76565011027119811
2,2463829502,3,1.1425475525141618e-55,0.43312936995889295
2,218610387,4,4.5922787178406084e-34,0.28640729004173571
2,2328601868,5,6.0325790067780491e-19,0.012663709286330014
2,238517079,6,1.0125961826228426e-57,0.47222547799073333
2,1933592044,7,2.3868209346199586e-33,0.15946843052453724
2,3198782373,8,1.9838635747689072e-37,0.20802830174206485
2,949750108,9,6.0538182007346501e-45,0.66682425438878989
2,1255254069,10,8.5599669364777726e-21,0.10246650616984349
2,3101864057,11,4.7800072909974152e-59,0.83889714514385261
2,4224036286,12,5.8250495029586917e-55,0.23852528779148272
2,2545654757,13,1.9388316252192281e-56,0.98259138441867833
2,2728243450,14,3.7625582707258311e-37,0.12401539444981843
2,2254965686,15,1.7908849340455126e-83,0.90737254319222194
2,4028027624,16,5.4236362064080748e-17,0.34799016535906563
2,4124145627,17,7.1215531152300255e-13,0.46039860107042996
2,248616427,18,5.0724622080188281e-56,0.37468537834950166
2,545666185,19,4.5192837940504442e-17,0.22948872474252333
2,3088356797,20,3.0643295829239769e-26,0.13868470113665224
2,1888864873,21,3.1474683044652302e-30,0.85043136096834404
2,461237738,22,3.488066295835796e-73,0.28270753649818858
2,949149784,23,1.2793183614662337e-76,0.030294286029793817
2,4178019105,24,3.0043805993408042e-32,0.21461273312731005
2,841540672,25,1.2794584877018419e-44,0.22813952125107415
2,3849413929,26,3.2938878101084668e-15,0.17691115243650207
2,2533313916,27,3.8244169061653567e-26,0.7676276984311039
2,3670323507,28,1.015157736660314e-38,0.85420468892763868
2,1133830747,29,2.2378251568506133e-19,0.70923402586203388
2,1835218422,30,1.7371675690724913e-32,0.10377698626960545
2,1268321831,31,5.9096273251071264e-51,0.19417206616630525
2,340567769,32,1.3948507932768801e-47,0.48617890781743589
2,1828726352,33,7.4100120054320993e-50,0.46277776594510867
2,1922932198,34,1.5359593064713903e-41,0.51085860075698586
2,4003021790,35,1.3370809575759735e-20,0.50199091932945827
2,2289769227,36,2.1726754422169016e-62,0.21305180335878826
2,4208986539,37,3.8530453822444209e-69,0.11115062169542893
2,3419773567,38,6.177446110473219e-101,0.63372648693303624
2,1023875340,39,8.3127451911418734e-35,0.97476124720544643
2,433942142,40,2.3540639989939364e-24,0.63343303371146364
2,1279368729,41,1.516635706853952e-25,0.23239825034611206
2,2580741287,42,2.2424620540674407e-53,0.099390322513057724
2,2291721125,43,5.614190962818175e-56,0.65872793387494954
2,2413043004,44,2.994490466147738e-64,0.73793178228295864
2,3846182419,45,2.8592314811674485e-39,0.83742203598113463
2,490491668,46,7.4266154183789054e-19,0.56239811211346513
2,1576708624,47,4.1409933092053591e-34,0.88639370044428389
2,930827221,48,5.5326904310015875e-38,0.96575836393027126
2,3410669988,49,5.7535991733399551e-93,0.16354193551174917
2,175834918,50,6.3591448986852439e-16,0.6297445956294071
2,468975803,51,5.6861926159127601e-40,0.48250102582011811
2,463977005,52,4.2549437201431809e-55,0.62371770185205111
2,3898578278,53,1.4585555380644583e-09,0.19541146892930539
2,4037750882,54,5.2681196492182429e-09,0.3294332115657565
2,460094996,55,9.0795712530066276e-29,0.26803430384938992
2,1553329078,56,5.794156665604208e-51,0.79553470695822759
2,3838108456,57,1.7074057412678112e-37,0.58921089776198443
2,4238534771,58,2.1333247398222748e-21,0.43646474228644055
2,414682452,59,2.9995009953943715e-27,0.51170880497776428
2,2978794206,60,5.3962106501821016e-36,0.65371232894261788
2,910829360,61,8.4701669710965151e-37,0.17998414180269989
2,752695503,62,4.9354138942238482e-27,0.4661769287562334
2,4179939118,63,2.1261106142444217e-32,0.3620159005245529
2,1815946978,64,5.8082124708023326e-22,0.17720330257620767
2,3458429738,65,2.3308721774807105e-13,0.19060569258688062
2,769372608,66,2.5612969892327809e-49,0.38351300661974086
2,2487525367,67,4.9904449529805214e-32,0.34667674567706308
2,3279087802,68,9.0383216075671701e-27,0.93920921947797076
2,4067747069,69,0,0.75438750368209617
2,711173856,70,2.8927079324749801e-32,0.71845191570296463
2,3204385872,71,1.206452167657706e-08,0.30780312860908798
2,2729636407,72,1.4660849645420047e-49,0.25120206716713706
2,3712202008,73,5.7573272989665865e-39,0.72722773500713367
2,725752350,74,1.0715816763649313e-54,0.82130583628673248
2,95755172,75,1.0781516484544991e-133,0.18980077337318943
2,631684392,76,1.105149214314078e-34,0.22166791868580452
2,1544994691,77,3.7285035507839413e-30,0.44829376593896025
2,268581777,78,6.8282384504828184e-48,0.36377704435875752
2,3735987607,79,9.4901100459525271e-88,0.69742576810275392
2,1966863106,80,1.9664727371956961e-82,0.63284825851949489
2,2831157568,81,8.4498327968162114e-61,0.2623038468499731
2,3921157661,82,5.7170936620821049e-88,0.44296926891042471
2,1067356204,83,6.4768035801814539e-40,0.97512590255296216
2,4081821909,84,1.1627770734910258e-26,0.74665904446120757
2,96874867,85,1.0214692597691881e-19,0.95453538697461493
2,1158738295,86,2.4123652902053128e-43,0.1027158739864866
2,2394693911,87,9.0339297107562309e-42,0.65086317595077059
2,2899470072,88,7.2307258545656354e-36,0.98001541493799094
2,2781177365,89,2.6516032383372436e-29,0.97399187712777957
2,4264271258,90,5.6471075386576578e-25,0.21044682528729428
2,1431342687,91,6.8975716660716624e-31,0.4101951863634562
2,468120265,92,7.824868067716019e-57,0.64777664563269355
2,620090014,93,8.0461875575382143e-21,0.57119948454069802
2,1276664619,94,8.2516449322269296e-29,0.47909031339770736
2,3751666574,95,1.5609480032181045e-32,0.91935777886980097
2,3949909887,96,3.194480259995466e-31,0.93500576151873438
2,2386517518,97,5.8834314166782263e-24,0.40154803383591137
2,3239955905,98,4.0250914700825931e-46,0.22203103574079372
2,2928373850,99,7.5603434793393558e-23,0.17552019273404615
2,3266751784,100,4.0417143982531345e-15,0.047394575906800449
5,1045420793,1,3.9973184244816099e-118,0.53999721293416481
5,3942725545,2,0,0.4857693801836126
5,4032571959,3,6.7667035547957379e-164,0.53339569742657589
5,3772603442,4,9.0091632936799794e-236,0.86323615702732825
5,4097103791,5,0,0.39086193053504653
5,1199257192,6,1.9803238575426481e-207,0.43971391072723554
5,3076843097,7,6.4011064439187022e-128,0.70491215772779148
5,3996960399,8,1.3527185362157389e-240,0.39492721152887866
5,2550426158,9,2.0823978291162319e-216,0.65484584715257377
5,892239641,10,4.4293353233372636e-163,0.88488413194400695
5,349000220,11,1.9826031620591723e-125,0.62170599312068031
5,1964707204,12,7.6122861759241534e-180,0.16091879717578694
5,828184489,13,7.3867859132370393e-193,0.10842595565628234
