gamma,seed,p_data,p_concept
5,85,3.7942893564721248e-231,0.96869904307499766
5,86,0,0.97695879287997889
5,87,7.5780235407671573e-203,0.7168314257893591
5,88,0,0.44808717596927172
5,89,0,0.48297417628909389
5,90,6.6571532666493179e-136,0.72890580965178287
5,91,8.3305606666967647e-213,0.787609089734574
5,92,4.7896767546418037e-95,0.66487483871113751
5,93,2.3710478470902304e-162,0.84804413841810078
5,94,2.3597703414143627e-245,0.74259707212487247
5,95,2.1677682552736333e-94,0.91702212713678422
5,96,1.0082427309000849e-225,0.72495374680536451
5,97,5.9210395009248662e-108,0.33593846392951227
5,98,0,0.49462602454369142
5,99,4.2159885558307986e-84,0.22347685492749639
5,100,2.7370130443627776e-49,0.38219478614306346
8.1600000000000001,1,5.0978027769721454e-141,0.3473755114434911
8.1600000000000001,2,5.7798238862881228e-143,0.10738922589661448
8.1600000000000001,3,0,0.31655749268398919
8.1600000000000001,4,5.8120892977296968e-176,0.62924800122021096
8.1600000000000001,5,3.3709254949837683e-167,0.0093185254502057401
8.1600000000000001,6,0,0.59947406329206276
8.1600000000000001,7,2.805378589233569e-169,0.84409534693448474
8.1600000000000001,8,1.1452318817259682e-177,0.26259184178262174
8.1600000000000001,9,2.1534774873259854e-94,0.97921530895325293
8.1600000000000001,10,7.0412710617734723e-160,0.57768036761291841
8.1600000000000001,11,5.9822038757395597e-223,0.97237915090839144
8.1600000000000001,12,3.196182390500921e-222,0.32772844449299071
8.1600000000000001,13,2.9610626555194403e-267,0.76892092092863706
8.1600000000000001,14,0,0.63506548377625005
8.1600000000000001,15,5.5381223987374446e-224,0.75465201140761307
8.1600000000000001,16,3.9374840069933411e-275,0.27977587150655797
8.1600000000000001,17,0,0.95017080748633553
8.1600000000000001,18,0,0.58730067744553893
8.1600000000000001,19,0,0.13492823309720267
8.1600000000000001,20,0,0.057898887277848553
8.1600000000000001,21,0,0.67228140727530583
8.1600000000000001,22,0,0.89519366709616255
8.1600000000000001,23,0,0.47620549959189329
8.1600000000000001,24,2.7403996810301401e-236,0.38360257137791848
8.1600000000000001,25,0,0.91705931911620087
8.1600000000000001,26,0,0.59753405679754545
8.1600000000000001,27,1.6565937087469424e-194,0.75531381211396775
8.1600000000000001,28,2.3159028048546618e-292,0.025640338583351942
8.1600000000000001,29,8.7285907196116944e-209,0.71376020055514722
8.1600000000000001,30,2.7719623083222113e-243,0.94523398102632661
8.1600000000000001,31,0,0.55507682650910017
8.1600000000000001,32,3.3392292157476086e-302,0.30841647965099667
8.1600000000000001,33,2.5486607627340164e-121,0.30039359340331023
8.1600000000000001,34,2.0703641103567422e-292,0.44836104414741268
8.1600000000000001,35,0,0.44398424240111267
8.1600000000000001,36,2.9924494034759197e-129,0.16655821710006841
8.1600000000000001,37,0,0.43333454708728125
8.1600000000000001,38,0,0.82139197068448166
8.1600000000000001,39,0,0.089370739591225684
8.1600000000000001,40,0,0.43120724460971704
8.1600000000000001,41,1.0805276655942908e-279,0.38551896601291558
8.1600000000000001,42,4.0340552333302363e-301,0.28639664930009234
8.1600000000000001,43,8.1006603127388561e-209,0.84284684180691727
8.1600000000000001,44,8.9890120483406859e-212,0.032584129986822002
8.1600000000000001,45,1.8844140864531068e-156,0.79294722449270483
8.1600000000000001,46,0,0.57933196552742794
8.1600000000000001,47,7.0857406038102884e-263,0.50068299255150284
8.1600000000000001,48,0,0.88024501213451178
8.1600000000000001,49,1.6442432453375707e-229,0.81580112844763053
8.1600000000000001,50,3.4874132381695912e-67,0.98453328396876405
8.1600000000000001,51,7.3915917932423517e-215,0.24885763914737966
8.1600000000000001,52,7.8446477891882375e-188,0.18905989172833595
8.1600000000000001,53,1.3165662622156429e-138,0.50576199289084112
8.1600000000000001,54,0,0.38700206959178474
8.1600000000000001,55,0,0.56998360818887917
8.1600000000000001,56,1.8893428850581328e-218,0.84428091638861935
8.1600000000000001,57,0,0.34169108570436368
8.1600000000000001,58,2.1267158519860169e-274,0.37778000010912116
8.1600000000000001,59,2.5963820530912635e-284,0.14486816837876504
8.1600000000000001,60,0,0.28345552737771385
8.1600000000000001,61,2.6625292336303226e-266,0.54126707680353547
8.1600000000000001,62,1.7042855534206289e-208,0.52983614475878382
